scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	287	584	1035	200	65	130.0	3120	0.50 0.36 0.25	0.26 0.32 0.24
w1-tcp	main	1	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	233	533	921	400	110	110.0	3124	0.50 0.36 0.25	0.26 0.32 0.24
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	285	584	1098	200	65	130.0	3136	0.26 0.32 0.24	0.29 0.32 0.25
w1-tcp	main	1	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	236	526	930	400	113	113.0	3140	0.26 0.32 0.24	0.29 0.32 0.25
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	306	580	986	200	69	138.0	3056	0.29 0.32 0.25	0.19 0.29 0.24
w1-tcp	main	1	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	228	491	753	400	109	109.0	3060	0.29 0.32 0.25	0.19 0.29 0.24
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	293	593	984	200	66	132.0	3040	0.19 0.29 0.24	0.34 0.31 0.25
w1-tcp	main	2	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	222	489	833	400	105	105.0	3044	0.19 0.29 0.24	0.34 0.31 0.25
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	282	539	835	200	65	130.0	3064	0.34 0.31 0.25	0.41 0.33 0.26
w1-tcp	main	2	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	232	519	879	400	112	112.0	3068	0.34 0.31 0.25	0.41 0.33 0.26
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	303	609	1048	200	69	138.0	3136	0.41 0.33 0.26	0.67 0.40 0.29
w1-tcp	main	2	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	233	540	956	400	111	111.0	3140	0.41 0.33 0.26	0.67 0.40 0.29
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	310	705	1211	200	70	140.0	3108	0.67 0.40 0.29	0.34 0.35 0.28
w1-tcp	main	3	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	219	486	795	400	105	105.0	3112	0.67 0.40 0.29	0.34 0.35 0.28
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	280	539	804	200	64	128.0	3156	0.34 0.35 0.28	0.45 0.37 0.29
w1-tcp	main	3	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	227	508	883	400	108	108.0	3160	0.34 0.35 0.28	0.45 0.37 0.29
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	272	520	812	200	62	124.0	3108	0.45 0.37 0.29	0.20 0.31 0.27
w1-tcp	main	3	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	212	466	739	400	103	103.0	3112	0.45 0.37 0.29	0.20 0.31 0.27
