scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	1	normal-reference	200	0	5000	5000	5000	5000	0	0	0	0	0	0	581	1040	1972	200	87	174.0	3056	0.80 0.35 0.20	0.46 0.35 0.20
w1-tcp	main	1	before_off	1	1	overload	400	0	9999	9999	9999	9999	0	0	0	0	0	1	462	908	1876	399.96	138	138.013801380138	3064	0.80 0.35 0.20	0.46 0.35 0.20
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	563	995	1766	200	84	168.0	2996	0.46 0.35 0.20	0.31 0.32 0.20
w1-tcp	main	1	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	433	868	1817	400	128	128.0	3004	0.46 0.35 0.20	0.31 0.32 0.20
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	633	1277	2350	200	94	188.0	3136	0.31 0.32 0.20	0.26 0.31 0.20
w1-tcp	main	1	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	498	1149	2300	400	153	153.0	3144	0.31 0.32 0.20	0.26 0.31 0.20
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	569	1048	1946	200	87	174.0	3108	0.26 0.31 0.20	0.17 0.27 0.19
w1-tcp	main	2	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	461	903	1835	400	135	135.0	3112	0.26 0.31 0.20	0.17 0.27 0.19
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	605	1422	2618	200	91	182.0	3116	0.17 0.27 0.19	0.29 0.28 0.19
w1-tcp	main	2	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	465	898	1873	400	136	136.0	3116	0.17 0.27 0.19	0.29 0.28 0.19
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	554	1118	2111	200	83	166.0	3072	0.29 0.28 0.19	0.31 0.28 0.20
w1-tcp	main	2	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	494	989	1947	400	145	145.0	3080	0.29 0.28 0.19	0.31 0.28 0.20
w1-tcp	main	3	after_on	2	1	normal-reference	200	0	5000	5000	5000	5000	0	0	0	0	0	0	561	1004	2027	200	84	168.0	3128	0.31 0.28 0.20	0.42 0.31 0.21
w1-tcp	main	3	after_on	2	1	overload	400	0	9999	9999	9999	9999	0	0	0	0	0	1	437	850	1849	399.96	130	130.01300130013001	3128	0.31 0.28 0.20	0.42 0.31 0.21
w1-tcp	main	3	before_off	1	1	normal-reference	200	0	4996	4996	4996	4996	0	0	0	0	0	4	844	2362	4397	199.84	112	224.1793434747798	3032	0.42 0.31 0.21	0.37 0.32 0.22
w1-tcp	main	3	before_off	1	1	overload	400	0	9985	9985	9985	9985	0	0	0	0	0	15	571	1825	3320	399.4	165	165.24787180771156	3032	0.42 0.31 0.21	0.37 0.32 0.22
w1-tcp	main	3	after_off	2	1	normal-reference	200	0	5000	5000	5000	5000	0	0	0	0	0	0	566	1014	1987	200	83	166.0	3056	0.37 0.32 0.22	0.22 0.28 0.20
w1-tcp	main	3	after_off	2	1	overload	400	0	9996	9996	9996	9996	0	0	0	0	0	4	460	899	1899	399.84	137	137.0548219287715	3060	0.37 0.32 0.22	0.22 0.28 0.20
