scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	289	580	967	200	67	134.0	3040	0.76 0.43 0.23	0.41 0.39 0.22
w1-tcp	main	1	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	213	485	823	400	102	102.0	3044	0.76 0.43 0.23	0.41 0.39 0.22
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	323	661	1311	200	71	142.0	3028	0.41 0.39 0.22	0.29 0.36 0.22
w1-tcp	main	1	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	275	642	1386	400	125	125.0	3028	0.41 0.39 0.22	0.29 0.36 0.22
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	338	710	1504	200	74	148.0	3148	0.29 0.36 0.22	0.38 0.38 0.24
w1-tcp	main	1	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	223	508	952	400	105	105.0	3148	0.29 0.36 0.22	0.38 0.38 0.24
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	288	579	1006	200	65	130.0	3160	0.38 0.38 0.24	0.28 0.35 0.24
w1-tcp	main	2	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	215	459	761	400	101	101.0	3164	0.38 0.38 0.24	0.28 0.35 0.24
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	288	567	916	200	64	128.0	3116	0.28 0.35 0.24	0.26 0.33 0.23
w1-tcp	main	2	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	213	460	772	400	102	102.0	3120	0.28 0.35 0.24	0.26 0.33 0.23
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	280	548	920	200	63	126.0	3000	0.26 0.33 0.23	0.43 0.37 0.25
w1-tcp	main	2	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	228	513	932	400	109	109.0	3004	0.26 0.33 0.23	0.43 0.37 0.25
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	287	574	942	200	65	130.0	3060	0.43 0.37 0.25	0.18 0.31 0.24
w1-tcp	main	3	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	216	473	804	400	102	102.0	3064	0.43 0.37 0.25	0.18 0.31 0.24
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	275	539	788	200	63	126.0	3036	0.18 0.31 0.24	0.28 0.31 0.24
w1-tcp	main	3	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	217	474	767	400	104	104.0	3040	0.18 0.31 0.24	0.28 0.31 0.24
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	290	581	938	200	65	130.0	2996	0.28 0.31 0.24	0.36 0.32 0.25
w1-tcp	main	3	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	222	469	727	400	105	105.0	3000	0.28 0.31 0.24	0.36 0.32 0.25
