scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	286	644	1198	200	69	138.0	3060	0.06 0.07 0.09	0.02 0.06 0.09
w1-tcp	main	1	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	240	605	1179	400	111	111.0	3060	0.06 0.07 0.09	0.02 0.06 0.09
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	298	567	867	200	67	134.0	3128	0.02 0.06 0.09	0.31 0.12 0.11
w1-tcp	main	1	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	233	527	944	400	110	110.0	3128	0.02 0.06 0.09	0.31 0.12 0.11
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	302	599	990	200	69	138.0	3068	0.31 0.12 0.11	0.16 0.12 0.10
w1-tcp	main	1	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	223	773	1352	400	125	125.0	3076	0.31 0.12 0.11	0.16 0.12 0.10
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	302	608	1043	200	68	136.0	3040	0.16 0.12 0.10	0.17 0.13 0.10
w1-tcp	main	2	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	226	521	966	400	105	105.0	3044	0.16 0.12 0.10	0.17 0.13 0.10
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	282	539	879	200	65	130.0	3144	0.17 0.13 0.10	0.32 0.17 0.12
w1-tcp	main	2	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	213	472	787	400	101	101.0	3148	0.17 0.13 0.10	0.32 0.17 0.12
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	279	534	793	200	64	128.0	3056	0.32 0.17 0.12	0.64 0.28 0.16
w1-tcp	main	2	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	212	472	813	400	102	102.0	3060	0.32 0.17 0.12	0.64 0.28 0.16
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	281	552	843	200	63	126.0	2984	0.64 0.28 0.16	0.52 0.30 0.17
w1-tcp	main	3	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	208	457	722	400	100	100.0	2988	0.64 0.28 0.16	0.52 0.30 0.17
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	271	527	747	200	61	122.0	3100	0.52 0.30 0.17	0.70 0.36 0.20
w1-tcp	main	3	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	216	482	822	400	103	103.0	3104	0.52 0.30 0.17	0.70 0.36 0.20
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	282	568	958	200	64	128.0	2996	0.70 0.36 0.20	0.76 0.43 0.23
w1-tcp	main	3	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	218	480	791	400	103	103.0	3000	0.70 0.36 0.20	0.76 0.43 0.23
