scenario	repetition	position	candidate	stage	target_qps	duration_ms	runner_exit	stage_invalid_reason	valid_pairs	complete_pairs	pair_valid	correct_on_time	scheduled	sent	received	correct_late	expected_negative_on_time	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	latency_sample_count	p50_us	p95_us	p99_us	effective_throughput_qps
w1-tcp	1	2	rust	overload	1000	3000	1		3	3	true	3000	3000	3000	3000	0	1000	0	0	0	0	0	3000	190	293	459	1000
w1-tcp	1	2	rust	recovery	200	3000	1	same-process recovery criteria failed	0	3	false	600	600	600	600	0	200	0	0	0	0	0	600	210	346	498	200
w1-tcp	2	1	rust	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	200	0	0	0	0	0	600	209	367	480	200
w1-tcp	2	1	rust	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	400	0	0	0	0	0	1200	209	315	447	400
w1-tcp	2	1	rust	near-saturation	800	3000	1		3	3	true	2400	2400	2400	2400	0	800	0	0	0	0	0	2400	194	319	538	800
w1-tcp	2	1	rust	overload	1000	3000	1		3	3	true	3000	3000	3000	3000	0	1000	0	0	0	0	0	3000	132	220	298	1000
w1-tcp	2	1	rust	recovery	200	3000	1	same-process recovery criteria failed	0	3	false	600	600	600	600	0	200	0	0	0	0	0	600	185	308	392	200
w1-tcp	2	2	go	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	200	0	0	0	0	0	600	271	519	720	200
w1-tcp	2	2	go	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	400	0	0	0	0	0	1200	304	480	690	400
w1-tcp	2	2	go	near-saturation	800	3000	1		3	3	true	2400	2400	2400	2400	0	800	0	0	0	0	0	2400	250	386	570	800
w1-tcp	2	2	go	overload	1000	3000	1		3	3	true	3000	3000	3000	3000	0	1000	0	0	0	0	0	3000	220	391	617	1000
w1-tcp	2	2	go	recovery	200	3000	1	same-process recovery criteria failed	0	3	false	600	600	600	600	0	200	0	0	0	0	0	600	304	503	650	200
w1-tcp	3	1	go	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	200	0	0	0	0	0	600	227	412	564	200
w1-tcp	3	1	go	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	400	0	0	0	0	0	1200	194	320	474	400
w1-tcp	3	1	go	near-saturation	800	3000	1		3	3	true	2400	2400	2400	2400	0	800	0	0	0	0	0	2400	204	303	457	800
w1-tcp	3	1	go	overload	1000	3000	1		3	3	true	3000	3000	3000	3000	0	1000	0	0	0	0	0	3000	231	385	507	1000
w1-tcp	3	1	go	recovery	200	3000	1	same-process recovery criteria failed	0	3	false	600	600	600	600	0	200	0	0	0	0	0	600	207	377	448	200
w1-tcp	3	2	rust	normal-reference	200	3000	0		3	3	true	600	600	600	600	0	200	0	0	0	0	0	600	191	323	425	200
w1-tcp	3	2	rust	common-load	400	3000	0		3	3	true	1200	1200	1200	1200	0	400	0	0	0	0	0	1200	221	368	491	400
w1-tcp	3	2	rust	near-saturation	800	3000	0		3	3	true	2400	2400	2400	2400	0	800	0	0	0	0	0	2400	183	289	396	800
w1-tcp	3	2	rust	overload	1000	3000	0		3	3	true	3000	3000	3000	3000	0	1000	0	0	0	0	0	3000	158	259	374	1000
w1-tcp	3	2	rust	recovery	200	3000	0		0	3	false	600	600	600	600	0	200	0	0	0	0	0	600	216	354	454	200
w2	1	1	go	official-w2-cold	200	3000	1		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	116	224	366	200
w2	1	1	go	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	102	213	254	200
w2	1	1	go	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	108	205	335	400
w2	1	1	go	near-saturation	800	3000	1		2	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	82	138	180	800
