scenario	repetition	candidate	run_id	stage	target_qps	runner_exit	stage_invalid_reason	scheduled	sent	received	correct_on_time	w1_positive_forward_delta	w1_negative_forward_delta	w2_cache_a_miss_delta	w2_cache_b_miss_delta	w3_domain_hit_sent	w3_ip_rule_hit_sent	w3_ip_rule_miss_sent	w3_route_a_legs_expected	w3_route_a_legs_observed	w3_route_b_legs_expected	w3_route_b_legs_observed	w3_route_c_legs_expected	w3_route_c_legs_observed	w3_route_legs_expected	w3_route_legs_observed	w3_route_legs_match	source_evidence_sha256	source_files
w1-udp	2	go	w1-udp-official-20260923T195903Z-66348	common-load	400	1		1200	1200	1200	1200	800	400															f344810916f981aa4406aa288e70d416e9af2a33e7dc4bfe9bb05a6ae81a6d9a	attempt-status.tsv;w1-udp/repetition-2/go/.run.b88cwF/counter-before-common-load.json;w1-udp/repetition-2/go/.run.b88cwF/counter-before-near-saturation.json;w1-udp/repetition-2/go/fixture-forward.json;w1-udp/repetition-2/go/invalid-stages.tsv;w1-udp/repetition-2/go/stages.jsonl
w1-udp	2	go	w1-udp-official-20260923T195903Z-66348	near-saturation	800	1		2400	2400	2400	2400	1600	800															baafd7e301a8f0c9f1e65afe0b8ad43b9d2d9438e8b723c0921675893eb322e9	attempt-status.tsv;w1-udp/repetition-2/go/.run.b88cwF/counter-before-near-saturation.json;w1-udp/repetition-2/go/.run.b88cwF/counter-before-overload.json;w1-udp/repetition-2/go/fixture-forward.json;w1-udp/repetition-2/go/invalid-stages.tsv;w1-udp/repetition-2/go/stages.jsonl
w1-udp	2	go	w1-udp-official-20260923T195903Z-66348	overload	1000	1		3000	3000	3000	3000	2000	1000															d42cae254df3e33da60a6dca15e2ea029b61c1c5631ce3f1f54814e4d94f3fb3	attempt-status.tsv;w1-udp/repetition-2/go/.run.b88cwF/counter-before-overload.json;w1-udp/repetition-2/go/.run.b88cwF/counter-before-recovery.json;w1-udp/repetition-2/go/fixture-forward.json;w1-udp/repetition-2/go/invalid-stages.tsv;w1-udp/repetition-2/go/stages.jsonl
w1-udp	2	go	w1-udp-official-20260923T195903Z-66348	recovery	200	1	same-process recovery criteria failed	600	600	600	600	400	200															ecedd6875a0ac328ac673142d26dfd0e2c22a567c4a4e8454506d4b11753b2c9	attempt-status.tsv;w1-udp/repetition-2/go/.run.b88cwF/counter-before-recovery.json;w1-udp/repetition-2/go/fixture-forward.json;w1-udp/repetition-2/go/invalid-stages.tsv;w1-udp/repetition-2/go/stages.jsonl
w1-udp	2	rust	w1-udp-official-20260923T195841Z-66039	normal-reference	200	0		600	600	600	600	400	200															f08a9d955f416f0151e83b4adfe70d457d60a4c4f8b269d306518ce3cb89761b	attempt-status.tsv;w1-udp/repetition-2/rust/.run.8ZN235/counter-before-common-load.json;w1-udp/repetition-2/rust/.run.8ZN235/counter-before-normal-reference.json;w1-udp/repetition-2/rust/fixture-forward.json;w1-udp/repetition-2/rust/stages.jsonl
w1-udp	2	rust	w1-udp-official-20260923T195841Z-66039	common-load	400	0		1200	1200	1200	1200	800	400															681c1e71304fba22eabbc268808a6d3862de94d205b1277ea9809a2eb9408ea1	attempt-status.tsv;w1-udp/repetition-2/rust/.run.8ZN235/counter-before-common-load.json;w1-udp/repetition-2/rust/.run.8ZN235/counter-before-near-saturation.json;w1-udp/repetition-2/rust/fixture-forward.json;w1-udp/repetition-2/rust/stages.jsonl
w1-udp	2	rust	w1-udp-official-20260923T195841Z-66039	near-saturation	800	0		2400	2400	2400	2400	1600	800															3261422dc4f30fdbfa9c6777df7e1fe012d37cf4aed7c90911194c66a7aa0317	attempt-status.tsv;w1-udp/repetition-2/rust/.run.8ZN235/counter-before-near-saturation.json;w1-udp/repetition-2/rust/.run.8ZN235/counter-before-overload.json;w1-udp/repetition-2/rust/fixture-forward.json;w1-udp/repetition-2/rust/stages.jsonl
w1-udp	2	rust	w1-udp-official-20260923T195841Z-66039	overload	1000	0		3000	3000	3000	3000	2000	1000															42d526dd1d82872af930891e2d5ff4d678583823571c550c44afea983d53cc96	attempt-status.tsv;w1-udp/repetition-2/rust/.run.8ZN235/counter-before-overload.json;w1-udp/repetition-2/rust/.run.8ZN235/counter-before-recovery.json;w1-udp/repetition-2/rust/fixture-forward.json;w1-udp/repetition-2/rust/stages.jsonl
w1-udp	2	rust	w1-udp-official-20260923T195841Z-66039	recovery	200	0		600	600	600	600	400	200															51855960ed884887bc1b9931a5c09d482aac3cc47b2c3ed790567bb64c2a8afe	attempt-status.tsv;w1-udp/repetition-2/rust/.run.8ZN235/counter-before-recovery.json;w1-udp/repetition-2/rust/fixture-forward.json;w1-udp/repetition-2/rust/stages.jsonl
w1-udp	3	go	w1-udp-official-20260923T195924Z-66671	normal-reference	200	1		600	600	600	600	400	200															d050048fcac04d7b11707e48d6f525e273b5595ec576479c06bd3578ee392d45	attempt-status.tsv;w1-udp/repetition-3/go/.run.38c6tg/counter-before-common-load.json;w1-udp/repetition-3/go/.run.38c6tg/counter-before-normal-reference.json;w1-udp/repetition-3/go/fixture-forward.json;w1-udp/repetition-3/go/invalid-stages.tsv;w1-udp/repetition-3/go/stages.jsonl
w1-udp	3	go	w1-udp-official-20260923T195924Z-66671	common-load	400	1		1200	1200	1200	1200	800	400															21f83d7f06ceaff7927e2139b6d250edea37cf194ab67fa9951d63d29a52bd9b	attempt-status.tsv;w1-udp/repetition-3/go/.run.38c6tg/counter-before-common-load.json;w1-udp/repetition-3/go/.run.38c6tg/counter-before-near-saturation.json;w1-udp/repetition-3/go/fixture-forward.json;w1-udp/repetition-3/go/invalid-stages.tsv;w1-udp/repetition-3/go/stages.jsonl
w1-udp	3	go	w1-udp-official-20260923T195924Z-66671	near-saturation	800	1	sender shortfall or scheduled query not sent	2399	2399	2399	2399	1599	800															15434ff21d5caa51707d4184b0e64d24947c3d8306af25e75b3bca1b27c92d4a	attempt-status.tsv;w1-udp/repetition-3/go/.run.38c6tg/counter-before-near-saturation.json;w1-udp/repetition-3/go/.run.38c6tg/counter-before-overload.json;w1-udp/repetition-3/go/fixture-forward.json;w1-udp/repetition-3/go/invalid-stages.tsv;w1-udp/repetition-3/go/stages.jsonl
w1-udp	3	go	w1-udp-official-20260923T195924Z-66671	overload	1000	1		3000	3000	3000	3000	2000	1000															7dbf4e71da43405a5ecab7c88e44211a39375155e77ada9ece2ac5a3fac9e959	attempt-status.tsv;w1-udp/repetition-3/go/.run.38c6tg/counter-before-overload.json;w1-udp/repetition-3/go/.run.38c6tg/counter-before-recovery.json;w1-udp/repetition-3/go/fixture-forward.json;w1-udp/repetition-3/go/invalid-stages.tsv;w1-udp/repetition-3/go/stages.jsonl
w1-udp	3	go	w1-udp-official-20260923T195924Z-66671	recovery	200	1	same-process recovery criteria failed	600	600	600	600	400	200															5a92726951c01502a3585fa4b296a98016bfef4ba88852c2129b4beb33409f8d	attempt-status.tsv;w1-udp/repetition-3/go/.run.38c6tg/counter-before-recovery.json;w1-udp/repetition-3/go/fixture-forward.json;w1-udp/repetition-3/go/invalid-stages.tsv;w1-udp/repetition-3/go/stages.jsonl
w1-udp	3	rust	w1-udp-official-20260923T195946Z-66999	normal-reference	200	0		600	600	600	600	400	200															10ee22262e918a9f6cfd235387739f41ba218319362316a1b696e95619cf7684	attempt-status.tsv;w1-udp/repetition-3/rust/.run.5pyVx9/counter-before-common-load.json;w1-udp/repetition-3/rust/.run.5pyVx9/counter-before-normal-reference.json;w1-udp/repetition-3/rust/fixture-forward.json;w1-udp/repetition-3/rust/stages.jsonl
w1-udp	3	rust	w1-udp-official-20260923T195946Z-66999	common-load	400	0		1200	1200	1200	1200	800	400															c6be2d198c6dee0b44ac19d7e728b4945c6d0e866afacca03608696bc86655cc	attempt-status.tsv;w1-udp/repetition-3/rust/.run.5pyVx9/counter-before-common-load.json;w1-udp/repetition-3/rust/.run.5pyVx9/counter-before-near-saturation.json;w1-udp/repetition-3/rust/fixture-forward.json;w1-udp/repetition-3/rust/stages.jsonl
w1-udp	3	rust	w1-udp-official-20260923T195946Z-66999	near-saturation	800	0		2400	2400	2400	2400	1600	800															bfa2624da33deec37e3d9e6c5a9f4dc9d5da4642e62b760b2b88fc73b5e6f4a3	attempt-status.tsv;w1-udp/repetition-3/rust/.run.5pyVx9/counter-before-near-saturation.json;w1-udp/repetition-3/rust/.run.5pyVx9/counter-before-overload.json;w1-udp/repetition-3/rust/fixture-forward.json;w1-udp/repetition-3/rust/stages.jsonl
w1-udp	3	rust	w1-udp-official-20260923T195946Z-66999	overload	1000	0		3000	3000	3000	3000	2000	1000															7a50aa3a5c0a727dc70ec4ec65de766f37298375566a64cf73fc6d5abfd1c852	attempt-status.tsv;w1-udp/repetition-3/rust/.run.5pyVx9/counter-before-overload.json;w1-udp/repetition-3/rust/.run.5pyVx9/counter-before-recovery.json;w1-udp/repetition-3/rust/fixture-forward.json;w1-udp/repetition-3/rust/stages.jsonl
w1-udp	3	rust	w1-udp-official-20260923T195946Z-66999	recovery	200	0		600	600	600	600	400	200															a65304978af9f449807c46d7878c0f79cfa7ce28fad1027ce8d183d7764ee1e1	attempt-status.tsv;w1-udp/repetition-3/rust/.run.5pyVx9/counter-before-recovery.json;w1-udp/repetition-3/rust/fixture-forward.json;w1-udp/repetition-3/rust/stages.jsonl
w1-tcp	1	go	w1-tcp-official-20260923T200007Z-67313	normal-reference	200	1		600	600	600	600	400	200															0c3ffa9a8e125b30f6917a924677a8b2c6536663d479edccdd9078fc70c3a2e1	attempt-status.tsv;w1-tcp/repetition-1/go/.run.j51Tnv/counter-before-common-load.json;w1-tcp/repetition-1/go/.run.j51Tnv/counter-before-normal-reference.json;w1-tcp/repetition-1/go/fixture-forward.json;w1-tcp/repetition-1/go/invalid-stages.tsv;w1-tcp/repetition-1/go/stages.jsonl
w1-tcp	1	go	w1-tcp-official-20260923T200007Z-67313	common-load	400	1		1200	1200	1200	1200	800	400															ad98746d0693b15f64600f248125d0402f4c2369852a6dc20aad8da28ce7f4c6	attempt-status.tsv;w1-tcp/repetition-1/go/.run.j51Tnv/counter-before-common-load.json;w1-tcp/repetition-1/go/.run.j51Tnv/counter-before-near-saturation.json;w1-tcp/repetition-1/go/fixture-forward.json;w1-tcp/repetition-1/go/invalid-stages.tsv;w1-tcp/repetition-1/go/stages.jsonl
w1-tcp	1	go	w1-tcp-official-20260923T200007Z-67313	near-saturation	800	1		2400	2400	2400	2400	1600	800															9658678d079b873153f40dbe5f9c2b6ca67ce84e81fa5682f340da689c6d17b6	attempt-status.tsv;w1-tcp/repetition-1/go/.run.j51Tnv/counter-before-near-saturation.json;w1-tcp/repetition-1/go/.run.j51Tnv/counter-before-overload.json;w1-tcp/repetition-1/go/fixture-forward.json;w1-tcp/repetition-1/go/invalid-stages.tsv;w1-tcp/repetition-1/go/stages.jsonl
w1-tcp	1	go	w1-tcp-official-20260923T200007Z-67313	overload	1000	1		3000	3000	3000	3000	2000	1000															95f7adbbe9cfadea58e26368e8b23bb57e4f8afc96a1a4a2334f37efc06438cb	attempt-status.tsv;w1-tcp/repetition-1/go/.run.j51Tnv/counter-before-overload.json;w1-tcp/repetition-1/go/.run.j51Tnv/counter-before-recovery.json;w1-tcp/repetition-1/go/fixture-forward.json;w1-tcp/repetition-1/go/invalid-stages.tsv;w1-tcp/repetition-1/go/stages.jsonl
w1-tcp	1	go	w1-tcp-official-20260923T200007Z-67313	recovery	200	1	same-process recovery criteria failed	600	600	600	600	400	200															c8da876e96c506a3b219f53ed7a92e81728b8c1f549fe7b623d2f23e0aa424d9	attempt-status.tsv;w1-tcp/repetition-1/go/.run.j51Tnv/counter-before-recovery.json;w1-tcp/repetition-1/go/fixture-forward.json;w1-tcp/repetition-1/go/invalid-stages.tsv;w1-tcp/repetition-1/go/stages.jsonl
w1-tcp	1	rust	w1-tcp-official-20260923T200026Z-67646	normal-reference	200	1		600	600	600	600	400	200															bfe13e11f2433b89eb4321634c8a04484df6f262067849f7743417da5851fa02	attempt-status.tsv;w1-tcp/repetition-1/rust/.run.G8JAjc/counter-before-common-load.json;w1-tcp/repetition-1/rust/.run.G8JAjc/counter-before-normal-reference.json;w1-tcp/repetition-1/rust/fixture-forward.json;w1-tcp/repetition-1/rust/invalid-stages.tsv;w1-tcp/repetition-1/rust/stages.jsonl
w1-tcp	1	rust	w1-tcp-official-20260923T200026Z-67646	common-load	400	1		1200	1200	1200	1200	800	400															22ae95edf0e6ffbb6fadd4e476d7bd01c99673591b27bb26ccbd390cbbcd094e	attempt-status.tsv;w1-tcp/repetition-1/rust/.run.G8JAjc/counter-before-common-load.json;w1-tcp/repetition-1/rust/.run.G8JAjc/counter-before-near-saturation.json;w1-tcp/repetition-1/rust/fixture-forward.json;w1-tcp/repetition-1/rust/invalid-stages.tsv;w1-tcp/repetition-1/rust/stages.jsonl
w1-tcp	1	rust	w1-tcp-official-20260923T200026Z-67646	near-saturation	800	1		2400	2400	2400	2400	1600	800															2a340e61afbb90b7ab39e6a9f744b785566112d82c9aad8fd8acbd9625c09043	attempt-status.tsv;w1-tcp/repetition-1/rust/.run.G8JAjc/counter-before-near-saturation.json;w1-tcp/repetition-1/rust/.run.G8JAjc/counter-before-overload.json;w1-tcp/repetition-1/rust/fixture-forward.json;w1-tcp/repetition-1/rust/invalid-stages.tsv;w1-tcp/repetition-1/rust/stages.jsonl
w1-tcp	1	rust	w1-tcp-official-20260923T200026Z-67646	overload	1000	1		3000	3000	3000	3000	2000	1000															11c55d277ba55fbffa05cb7090628ed4321df3e2dd6de69bb37bfa0e5420202b	attempt-status.tsv;w1-tcp/repetition-1/rust/.run.G8JAjc/counter-before-overload.json;w1-tcp/repetition-1/rust/.run.G8JAjc/counter-before-recovery.json;w1-tcp/repetition-1/rust/fixture-forward.json;w1-tcp/repetition-1/rust/invalid-stages.tsv;w1-tcp/repetition-1/rust/stages.jsonl
w1-tcp	1	rust	w1-tcp-official-20260923T200026Z-67646	recovery	200	1	same-process recovery criteria failed	600	600	600	600	400	200															20343efdfdfa6e5c5c44535d9646346d6f42be1e81b6e0b758da36cc743d5d45	attempt-status.tsv;w1-tcp/repetition-1/rust/.run.G8JAjc/counter-before-recovery.json;w1-tcp/repetition-1/rust/fixture-forward.json;w1-tcp/repetition-1/rust/invalid-stages.tsv;w1-tcp/repetition-1/rust/stages.jsonl
w1-tcp	2	go	w1-tcp-official-20260923T200103Z-68251	normal-reference	200	1		600	600	600	600	400	200															65c28c0c94e472bb14c34de9406b1d56cf676b24ff8e834d2433baf24e21f214	attempt-status.tsv;w1-tcp/repetition-2/go/.run.FJSMup/counter-before-common-load.json;w1-tcp/repetition-2/go/.run.FJSMup/counter-before-normal-reference.json;w1-tcp/repetition-2/go/fixture-forward.json;w1-tcp/repetition-2/go/invalid-stages.tsv;w1-tcp/repetition-2/go/stages.jsonl
w1-tcp	2	go	w1-tcp-official-20260923T200103Z-68251	common-load	400	1		1200	1200	1200	1200	800	400															c64b6bc7e4b9fa9763a426694bf7914b3ed12128dcad52f2ea93bbcb33b9d3bf	attempt-status.tsv;w1-tcp/repetition-2/go/.run.FJSMup/counter-before-common-load.json;w1-tcp/repetition-2/go/.run.FJSMup/counter-before-near-saturation.json;w1-tcp/repetition-2/go/fixture-forward.json;w1-tcp/repetition-2/go/invalid-stages.tsv;w1-tcp/repetition-2/go/stages.jsonl
w1-tcp	2	go	w1-tcp-official-20260923T200103Z-68251	near-saturation	800	1		2400	2400	2400	2400	1600	800															de2a6937e6ed69827aff1f636520f411c2536abe05212f450f1b493dbf651116	attempt-status.tsv;w1-tcp/repetition-2/go/.run.FJSMup/counter-before-near-saturation.json;w1-tcp/repetition-2/go/.run.FJSMup/counter-before-overload.json;w1-tcp/repetition-2/go/fixture-forward.json;w1-tcp/repetition-2/go/invalid-stages.tsv;w1-tcp/repetition-2/go/stages.jsonl
w1-tcp	2	go	w1-tcp-official-20260923T200103Z-68251	overload	1000	1		3000	3000	3000	3000	2000	1000															e93056f424b46f6cbadafe6097e7b207b2a52c871676d5f7bfb111046ba4b360	attempt-status.tsv;w1-tcp/repetition-2/go/.run.FJSMup/counter-before-overload.json;w1-tcp/repetition-2/go/.run.FJSMup/counter-before-recovery.json;w1-tcp/repetition-2/go/fixture-forward.json;w1-tcp/repetition-2/go/invalid-stages.tsv;w1-tcp/repetition-2/go/stages.jsonl
w1-tcp	2	go	w1-tcp-official-20260923T200103Z-68251	recovery	200	1	same-process recovery criteria failed	600	600	600	600	400	200															9a3f22957bc1994ff6dd6b3519f51ae1f3194962265508d140453e2bfff7913f	attempt-status.tsv;w1-tcp/repetition-2/go/.run.FJSMup/counter-before-recovery.json;w1-tcp/repetition-2/go/fixture-forward.json;w1-tcp/repetition-2/go/invalid-stages.tsv;w1-tcp/repetition-2/go/stages.jsonl
w1-tcp	2	rust	w1-tcp-official-20260923T200045Z-67949	normal-reference	200	1		600	600	600	600	400	200															5ae999e82581cf71b6cfbfe6c073bd3a48f60c40bc09d29ba16d528a9b34996f	attempt-status.tsv;w1-tcp/repetition-2/rust/.run.uem1k1/counter-before-common-load.json;w1-tcp/repetition-2/rust/.run.uem1k1/counter-before-normal-reference.json;w1-tcp/repetition-2/rust/fixture-forward.json;w1-tcp/repetition-2/rust/invalid-stages.tsv;w1-tcp/repetition-2/rust/stages.jsonl
w1-tcp	2	rust	w1-tcp-official-20260923T200045Z-67949	common-load	400	1		1200	1200	1200	1200	800	400															d9c0a1edda161e700e5b42ee8960f278a936bbdbc0bc14556fe4eb81732014e6	attempt-status.tsv;w1-tcp/repetition-2/rust/.run.uem1k1/counter-before-common-load.json;w1-tcp/repetition-2/rust/.run.uem1k1/counter-before-near-saturation.json;w1-tcp/repetition-2/rust/fixture-forward.json;w1-tcp/repetition-2/rust/invalid-stages.tsv;w1-tcp/repetition-2/rust/stages.jsonl
w1-tcp	2	rust	w1-tcp-official-20260923T200045Z-67949	near-saturation	800	1		2400	2400	2400	2400	1600	800															de2a90211550eeadc1f5d3720de9bb64452afc5ee4803b9d3e86153b133f6b27	attempt-status.tsv;w1-tcp/repetition-2/rust/.run.uem1k1/counter-before-near-saturation.json;w1-tcp/repetition-2/rust/.run.uem1k1/counter-before-overload.json;w1-tcp/repetition-2/rust/fixture-forward.json;w1-tcp/repetition-2/rust/invalid-stages.tsv;w1-tcp/repetition-2/rust/stages.jsonl
w1-tcp	2	rust	w1-tcp-official-20260923T200045Z-67949	overload	1000	1		3000	3000	3000	3000	2000	1000															4023dfb1c62dce60558dd0d7dd2b43bc7ef1cb5c754affcd4bb856d9602ca673	attempt-status.tsv;w1-tcp/repetition-2/rust/.run.uem1k1/counter-before-overload.json;w1-tcp/repetition-2/rust/.run.uem1k1/counter-before-recovery.json;w1-tcp/repetition-2/rust/fixture-forward.json;w1-tcp/repetition-2/rust/invalid-stages.tsv;w1-tcp/repetition-2/rust/stages.jsonl
w1-tcp	2	rust	w1-tcp-official-20260923T200045Z-67949	recovery	200	1	same-process recovery criteria failed	600	600	600	600	400	200															162fe69693ce5794995a02f019f1a7c8ab0d9686aea7f865d7a7ab6c79035792	attempt-status.tsv;w1-tcp/repetition-2/rust/.run.uem1k1/counter-before-recovery.json;w1-tcp/repetition-2/rust/fixture-forward.json;w1-tcp/repetition-2/rust/invalid-stages.tsv;w1-tcp/repetition-2/rust/stages.jsonl
w1-tcp	3	go	w1-tcp-official-20260923T200122Z-68579	normal-reference	200	1		600	600	600	600	400	200															e3a80184ca18ba2ee7b5ba4beeb2adca6976cf3d68d845d50dec9a7b240980ea	attempt-status.tsv;w1-tcp/repetition-3/go/.run.QHEBlt/counter-before-common-load.json;w1-tcp/repetition-3/go/.run.QHEBlt/counter-before-normal-reference.json;w1-tcp/repetition-3/go/fixture-forward.json;w1-tcp/repetition-3/go/invalid-stages.tsv;w1-tcp/repetition-3/go/stages.jsonl
