scenario	repetition	position	candidate	runner_exit	start_utc	end_utc	raw_run_dir	overlay_run_dir	status_source_sha256	manifest_sha256	matrix_driver_sha256
w1-tcp	3	1	go	1	2026-09-23T20:01:22Z	2026-09-23T20:01:41Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-tcp/repetition-3/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-tcp/repetition-3/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-tcp	3	2	rust	0	2026-09-23T20:01:41Z	2026-09-23T20:01:59Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-tcp/repetition-3/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-tcp/repetition-3/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w2	1	1	go	1	2026-09-23T20:02:00Z	2026-09-23T20:02:28Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w2/repetition-1/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w2/repetition-1/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w2	1	2	rust	1	2026-09-23T20:02:29Z	2026-09-23T20:02:57Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w2/repetition-1/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w2/repetition-1/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w2	2	1	rust	1	2026-09-23T20:02:57Z	2026-09-23T20:03:26Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w2/repetition-2/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w2/repetition-2/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w2	2	2	go	0	2026-09-23T20:03:26Z	2026-09-23T20:03:55Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w2/repetition-2/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w2/repetition-2/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w2	3	1	go	0	2026-09-23T20:03:55Z	2026-09-23T20:04:24Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w2/repetition-3/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w2/repetition-3/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w2	3	2	rust	0	2026-09-23T20:04:24Z	2026-09-23T20:04:53Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w2/repetition-3/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w2/repetition-3/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w3	1	1	go	0	2026-09-23T20:04:53Z	2026-09-23T20:05:15Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w3/repetition-1/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w3/repetition-1/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w3	1	2	rust	1	2026-09-23T20:05:15Z	2026-09-23T20:05:37Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w3/repetition-1/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w3/repetition-1/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w3	2	1	rust	0	2026-09-23T20:05:37Z	2026-09-23T20:05:59Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w3/repetition-2/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w3/repetition-2/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w3	2	2	go	0	2026-09-23T20:05:59Z	2026-09-23T20:06:21Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w3/repetition-2/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w3/repetition-2/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w3	3	1	go	1	2026-09-23T20:06:21Z	2026-09-23T20:06:43Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w3/repetition-3/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w3/repetition-3/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w3	3	2	rust	1	2026-09-23T20:06:43Z	2026-09-23T20:07:04Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w3/repetition-3/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w3/repetition-3/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
