scenario	repetition	position	candidate	stage	role	pid	sample_count	sample_interval_s	cpu_ticks	user_system_cpu_ms	cpu_percent_one_core	cpu_resolution_percent_one_core	cpu_us_per_correct_on_time	cpu_resolution_us_per_correct_on_time	rss_median_kib	rss_peak_kib	fd_median	fd_peak	stage_invalid_reason	pair_valid
w2	1	1	go	recovery	sut	69380	4	3.00221	2	20.0	0.666	0.333	33.333	16.667	47332.0	49400	9.0	9	same-process recovery criteria failed	false
w2	1	2	rust	official-w2-cold	fixture-1	69711	4	3.002547	1	10.0	0.333	0.333			8580.0	8596	7.0	7		true
w2	1	2	rust	official-w2-cold	load-generator	69748	4	3.002653	4	40.0	1.332	0.333			13600.0	13680	9.0	9		true
w2	1	2	rust	official-w2-cold	sut	69736	4	3.002592	0	0.0	0.0	0.333		16.667	3196.0	3196	7.0	7		true
w2	1	2	rust	normal-reference	fixture-1	69794	4	3.002943	1	10.0	0.333	0.333			8648.0	8664	7.0	7		true
w2	1	2	rust	normal-reference	load-generator	69856	4	3.002797	6	60.0	1.998	0.333			13634.0	13716	9.0	9		true
w2	1	2	rust	normal-reference	sut	69815	4	3.002761	0	0.0	0.0	0.333		16.667	3252.0	3252	7.0	7		true
w2	1	2	rust	common-load	fixture-1	69794	4	3.002261	1	10.0	0.333	0.333			8668.0	8668	7.0	7		true
w2	1	2	rust	common-load	load-generator	69890	4	3.002313	13	130.0	4.33	0.333			13758.0	13772	10.0	10		true
w2	1	2	rust	common-load	sut	69815	4	3.00245	5	50.0	1.665	0.333	41.667	8.333	3252.0	3252	7.0	7		true
w2	1	2	rust	near-saturation	fixture-1	69794	4	3.002289	0	0.0	0.0	0.333			8676.0	8680	7.0	7		true
w2	1	2	rust	near-saturation	load-generator	69925	4	3.002122	16	160.0	5.33	0.333			15818.0	15832	10.0	10		true
w2	1	2	rust	near-saturation	sut	69815	4	3.001935	3	30.0	0.999	0.333	12.5	4.167	3252.0	3252	7.0	7		true
w2	1	2	rust	overload	fixture-1	69794	4	3.002858	1	10.0	0.333	0.333			8688.0	8688	7.0	7	sender shortfall or scheduled query not sent	false
w2	1	2	rust	overload	load-generator	69961	4	3.002927	19	190.0	6.327	0.333			14442.0	14616	10.0	11	sender shortfall or scheduled query not sent	false
w2	1	2	rust	overload	sut	69815	4	3.002945	6	60.0	1.998	0.333	20.007	3.334	3256.0	3256	7.0	7	sender shortfall or scheduled query not sent	false
w2	1	2	rust	recovery	fixture-1	69794	4	3.002175	1	10.0	0.333	0.333			8692.0	8692	7.0	7	same-process recovery criteria failed	false
w2	1	2	rust	recovery	load-generator	69996	4	3.002112	8	80.0	2.665	0.333			15294.0	17508	9.0	10	same-process recovery criteria failed	false
w2	1	2	rust	recovery	sut	69815	4	3.002166	2	20.0	0.666	0.333	33.333	16.667	3256.0	3256	7.0	7	same-process recovery criteria failed	false
w2	2	1	rust	official-w2-cold	fixture-1	70132	4	3.003199	0	0.0	0.0	0.333			10656.0	10672	7.0	7		true
w2	2	1	rust	official-w2-cold	load-generator	70169	4	3.003045	6	60.0	1.998	0.333			15718.0	15800	9.0	9		true
w2	2	1	rust	official-w2-cold	sut	70157	4	3.003016	1	10.0	0.333	0.333	16.667	16.667	3176.0	3176	7.0	7		true
w2	2	1	rust	normal-reference	fixture-1	70214	4	3.003227	1	10.0	0.333	0.333			10720.0	10736	7.0	7		true
w2	2	1	rust	normal-reference	load-generator	70278	4	3.00308	7	70.0	2.331	0.333			13736.0	13824	9.0	10		true
w2	2	1	rust	normal-reference	sut	70237	4	3.003161	1	10.0	0.333	0.333	16.667	16.667	3196.0	3196	7.0	7		true
w2	2	1	rust	common-load	fixture-1	70214	4	3.002228	0	0.0	0.0	0.333			10740.0	10740	7.0	7		true
w2	2	1	rust	common-load	load-generator	70313	4	3.002246	11	110.0	3.664	0.333			13704.0	13720	9.5	10		true
w2	2	1	rust	common-load	sut	70237	4	3.0023	3	30.0	0.999	0.333	25.0	8.333	3196.0	3196	7.0	7		true
w2	2	1	rust	near-saturation	fixture-1	70214	4	3.002599	1	10.0	0.333	0.333			10748.0	10752	7.0	7	sender shortfall or scheduled query not sent	false
w2	2	1	rust	near-saturation	load-generator	70347	4	3.002634	17	170.0	5.662	0.333			15844.0	15860	10.0	11	sender shortfall or scheduled query not sent	false
w2	2	1	rust	near-saturation	sut	70237	4	3.00279	5	50.0	1.665	0.333	20.842	4.168	3196.0	3196	7.0	7	sender shortfall or scheduled query not sent	false
w2	2	1	rust	overload	fixture-1	70214	4	3.002757	0	0.0	0.0	0.333			10760.0	10760	7.0	7		true
w2	2	1	rust	overload	load-generator	70384	4	3.002562	20	200.0	6.661	0.333			14550.0	14572	9.5	10		true
w2	2	1	rust	overload	sut	70237	4	3.002666	5	50.0	1.665	0.333	16.667	3.333	3200.0	3200	7.0	7		true
w2	2	1	rust	recovery	fixture-1	70214	4	3.003129	2	20.0	0.666	0.333			10764.0	10764	7.0	7	same-process recovery criteria failed	false
w2	2	1	rust	recovery	load-generator	70419	4	3.003081	8	80.0	2.664	0.333			15952.0	16452	9.0	10	same-process recovery criteria failed	false
w2	2	1	rust	recovery	sut	70237	4	3.002965	3	30.0	0.999	0.333	50.0	16.667	3200.0	3200	7.0	7	same-process recovery criteria failed	false
w2	2	2	go	official-w2-cold	fixture-1	70556	4	3.002623	1	10.0	0.333	0.333			8656.0	8668	7.0	7		true
w2	2	2	go	official-w2-cold	load-generator	70599	4	3.002698	6	60.0	1.998	0.333			15804.0	15892	9.0	9		true
w2	2	2	go	official-w2-cold	sut	70582	4	3.002678	2	20.0	0.666	0.333	33.333	16.667	38932.0	40992	9.0	9		true
w2	2	2	go	normal-reference	fixture-1	70645	4	3.001948	1	10.0	0.333	0.333			10660.0	10672	7.0	7		true
w2	2	2	go	normal-reference	load-generator	70710	4	3.001991	6	60.0	1.999	0.333			13644.0	13748	9.0	9		true
w2	2	2	go	normal-reference	sut	70667	4	3.001945	3	30.0	0.999	0.333	50.0	16.667	36760.0	36776	9.0	9		true
w2	2	2	go	common-load	fixture-1	70645	4	3.002258	0	0.0	0.0	0.333			10676.0	10676	7.0	7		true
w2	2	2	go	common-load	load-generator	70747	4	3.002274	6	60.0	1.998	0.333			13680.0	13696	9.0	10		true
w2	2	2	go	common-load	sut	70667	4	3.002304	2	20.0	0.666	0.333	16.667	8.333	36794.0	38868	9.0	9		true
w2	2	2	go	near-saturation	fixture-1	70645	4	3.002265	1	10.0	0.333	0.333			10684.0	10688	7.0	7		false
w2	2	2	go	near-saturation	load-generator	70780	4	3.002227	23	230.0	7.661	0.333			13760.0	13776	10.0	10		false
w2	2	2	go	near-saturation	sut	70667	4	3.002319	7	70.0	2.332	0.333	29.167	4.167	39920.0	40980	9.0	9		false
w2	2	2	go	overload	fixture-1	70645	4	3.002196	1	10.0	0.333	0.333			10696.0	10696	7.0	7		true
w2	2	2	go	overload	load-generator	70815	4	3.002175	16	160.0	5.329	0.333			14596.0	14872	9.5	11		true
w2	2	2	go	overload	sut	70667	4	3.002233	7	70.0	2.332	0.333	23.333	3.333	43070.0	45168	9.0	9		true
w2	2	2	go	recovery	fixture-1	70645	4	3.00264	0	0.0	0.0	0.333			10698.0	10700	7.0	7		false
w2	2	2	go	recovery	load-generator	70852	4	3.002636	5	50.0	1.665	0.333			15620.0	16400	9.0	10		false
w2	2	2	go	recovery	sut	70667	4	3.002779	2	20.0	0.666	0.333	33.333	16.667	45190.0	45776	9.0	9		false
w2	3	1	go	official-w2-cold	fixture-1	70996	4	3.002568	0	0.0	0.0	0.333			8656.0	8672	7.0	7		true
w2	3	1	go	official-w2-cold	load-generator	71038	4	3.002455	5	50.0	1.665	0.333			13702.0	13776	9.0	10		true
w2	3	1	go	official-w2-cold	sut	71021	4	3.002643	2	20.0	0.666	0.333	33.333	16.667	35508.0	37564	9.0	9		true
w2	3	1	go	normal-reference	fixture-1	71085	4	3.002525	1	10.0	0.333	0.333			8556.0	8572	7.0	7		true
w2	3	1	go	normal-reference	load-generator	71151	4	3.002656	4	40.0	1.332	0.333			15798.0	15876	9.0	9		true
w2	3	1	go	normal-reference	sut	71107	4	3.002743	2	20.0	0.666	0.333	33.333	16.667	39504.0	39512	9.0	9		true
w2	3	1	go	common-load	fixture-1	71085	4	3.002361	0	0.0	0.0	0.333			8576.0	8576	7.0	7		true
w2	3	1	go	common-load	load-generator	71189	4	3.002391	8	80.0	2.665	0.333			13800.0	13816	9.0	10		true
w2	3	1	go	common-load	sut	71107	4	3.002475	3	30.0	0.999	0.333	25.0	8.333	41596.0	41616	9.0	9		true
w2	3	1	go	near-saturation	fixture-1	71085	4	3.002281	1	10.0	0.333	0.333			8584.0	8588	7.0	7		true
w2	3	1	go	near-saturation	load-generator	71224	4	3.002468	13	130.0	4.33	0.333			15868.0	15932	10.0	10		true
w2	3	1	go	near-saturation	sut	71107	4	3.002639	4	40.0	1.332	0.333	16.667	4.167	43696.0	45792	9.0	9		true
w2	3	1	go	overload	fixture-1	71085	4	3.002007	0	0.0	0.0	0.333			8596.0	8596	7.0	7		true
w2	3	1	go	overload	load-generator	71260	4	3.001922	18	180.0	5.996	0.333			14450.0	14616	10.5	11		true
w2	3	1	go	overload	sut	71107	4	3.002007	7	70.0	2.332	0.333	23.333	3.333	46854.0	47920	9.0	9		true
w2	3	1	go	recovery	fixture-1	71085	4	3.002223	1	10.0	0.333	0.333			8600.0	8600	7.0	7		true
w2	3	1	go	recovery	load-generator	71298	4	3.002202	6	60.0	1.999	0.333			13070.0	15660	9.0	10		true
w2	3	1	go	recovery	sut	71107	4	3.002226	2	20.0	0.666	0.333	33.333	16.667	48952.0	49984	9.0	9		true
w2	3	2	rust	official-w2-cold	fixture-1	71443	4	3.003096	1	10.0	0.333	0.333			8708.0	8724	7.0	7		true
w2	3	2	rust	official-w2-cold	load-generator	71479	4	3.002776	4	40.0	1.332	0.333			13652.0	13732	9.0	9		true
w2	3	2	rust	official-w2-cold	sut	71468	4	3.002638	0	0.0	0.0	0.333		16.667	3196.0	3196	7.0	7		true
w2	3	2	rust	normal-reference	fixture-1	71527	4	3.002402	0	0.0	0.0	0.333			10744.0	10760	7.0	7		true
w2	3	2	rust	normal-reference	load-generator	71588	4	3.002369	4	40.0	1.332	0.333			13622.0	13716	9.0	9		true
w2	3	2	rust	normal-reference	sut	71549	4	3.002197	0	0.0	0.0	0.333		16.667	3260.0	3260	7.0	7		true
w2	3	2	rust	common-load	fixture-1	71527	4	3.002148	1	10.0	0.333	0.333			10764.0	10764	7.0	7		true
w2	3	2	rust	common-load	load-generator	71624	4	3.002198	6	60.0	1.999	0.333			15796.0	15824	9.5	10		true
w2	3	2	rust	common-load	sut	71549	4	3.002218	2	20.0	0.666	0.333	16.667	8.333	3262.0	3264	7.0	7		true
w2	3	2	rust	near-saturation	fixture-1	71527	4	3.002894	0	0.0	0.0	0.333			10772.0	10776	7.0	7		true
w2	3	2	rust	near-saturation	load-generator	71661	4	3.002509	15	150.0	4.996	0.333			13812.0	13828	10.0	10		true
w2	3	2	rust	near-saturation	sut	71549	4	3.002322	4	40.0	1.332	0.333	16.667	4.167	3264.0	3264	7.0	7		true
w2	3	2	rust	overload	fixture-1	71527	4	3.001906	1	10.0	0.333	0.333			10784.0	10784	7.0	7		true
w2	3	2	rust	overload	load-generator	71696	4	3.001991	15	150.0	4.997	0.333			14830.0	14892	10.5	11		true
w2	3	2	rust	overload	sut	71549	4	3.002097	4	40.0	1.332	0.333	13.333	3.333	3264.0	3264	7.0	7		true
w2	3	2	rust	recovery	fixture-1	71527	4	3.002563	1	10.0	0.333	0.333			10788.0	10788	7.0	7		true
w2	3	2	rust	recovery	load-generator	71732	4	3.002551	5	50.0	1.665	0.333			15260.0	16804	9.0	10		true
w2	3	2	rust	recovery	sut	71549	4	3.0025	2	20.0	0.666	0.333	33.333	16.667	3264.0	3264	7.0	7		true
w3	1	1	go	normal-reference	fixture-1	71871	4	3.003855	3	30.0	0.999	0.333			10792.0	12884	7.0	7		true
w3	1	1	go	normal-reference	fixture-2	71872	4	3.00388	2	20.0	0.666	0.333			11770.0	12832	7.0	7		true
w3	1	1	go	normal-reference	fixture-3	71873	4	3.004079	0	0.0	0.0	0.333			10774.0	10812	7.0	7		true
w3	1	1	go	normal-reference	load-generator	71935	4	3.003809	6	60.0	1.997	0.333			13748.0	13836	9.0	10		true
w3	1	1	go	normal-reference	sut	71917	4	3.003663	5	50.0	1.665	0.333	83.333	16.667	34376.0	35436	11.0	11		true
w3	1	1	go	common-load	fixture-1	71871	4	3.003966	4	40.0	1.332	0.333			13362.0	13628	7.0	7		true
w3	1	1	go	common-load	fixture-2	71872	4	3.003882	4	40.0	1.332	0.333			15370.0	15640	7.0	7		true
w3	1	1	go	common-load	fixture-3	71873	4	3.003863	3	30.0	0.999	0.333			12898.0	13336	7.0	7		true
w3	1	1	go	common-load	load-generator	71977	4	3.004074	10	100.0	3.329	0.333			15872.0	15892	9.0	10		true
w3	1	1	go	common-load	sut	71917	4	3.004033	8	80.0	2.663	0.333	66.667	8.333	37554.0	39660	11.0	11		true
w3	1	1	go	near-saturation	fixture-1	71871	4	3.00362	6	60.0	1.998	0.333			13772.0	13844	7.0	7		true
w3	1	1	go	near-saturation	fixture-2	71872	4	3.003607	8	80.0	2.663	0.333			15772.0	15844	7.0	7		true
w3	1	1	go	near-saturation	fixture-3	71873	4	3.00356	2	20.0	0.666	0.333			13514.0	13680	7.0	7		true
w3	1	1	go	near-saturation	load-generator	72020	4	3.003605	16	160.0	5.327	0.333			13852.0	13876	10.0	10		true
w3	1	1	go	near-saturation	sut	71917	4	3.003598	14	140.0	4.661	0.333	58.333	4.167	44892.0	48072	11.0	11		true
w3	1	1	go	overload	fixture-1	71871	4	3.003427	7	70.0	2.331	0.333			13844.0	13844	7.0	7		false
w3	1	1	go	overload	fixture-2	71872	4	3.003413	7	70.0	2.331	0.333			15844.0	15844	7.0	7		false
w3	1	1	go	overload	fixture-3	71873	4	3.003305	2	20.0	0.666	0.333			13752.0	13800	7.0	7		false
w3	1	1	go	overload	load-generator	72062	4	3.003463	17	170.0	5.66	0.333			14642.0	14988	9.5	10		false
w3	1	1	go	overload	sut	71917	4	3.003357	14	140.0	4.661	0.333	46.667	3.333	53736.0	55164	11.0	11		false
w3	1	1	go	recovery	fixture-1	71871	4	3.003653	2	20.0	0.666	0.333			13844.0	13844	7.0	7		false
w3	1	1	go	recovery	fixture-2	71872	4	3.003778	3	30.0	0.999	0.333			15844.0	15844	7.0	7		false
w3	1	1	go	recovery	fixture-3	71873	4	3.003909	2	20.0	0.666	0.333			13800.0	13800	7.0	7		false
w3	1	1	go	recovery	load-generator	72105	4	3.003607	5	50.0	1.665	0.333			13988.0	16428	9.0	10		false
w3	1	1	go	recovery	sut	71917	4	3.003487	5	50.0	1.665	0.333	83.333	16.667	55166.0	55172	11.0	11		false
w3	1	2	rust	normal-reference	fixture-1	72258	4	3.003905	1	10.0	0.333	0.333			10786.0	12876	7.0	7		true
w3	1	2	rust	normal-reference	fixture-2	72259	4	3.004031	2	20.0	0.666	0.333			10820.0	12908	7.0	7		true
w3	1	2	rust	normal-reference	fixture-3	72260	4	3.004197	0	0.0	0.0	0.333			9766.0	10832	7.0	7		true
w3	1	2	rust	normal-reference	load-generator	72318	4	3.003761	4	40.0	1.332	0.333			13758.0	13836	9.0	9		true
w3	1	2	rust	normal-reference	sut	72307	4	3.003652	3	30.0	0.999	0.333	50.0	16.667	3236.0	3236	7.0	7		true
w3	1	2	rust	common-load	fixture-1	72258	4	3.003507	6	60.0	1.998	0.333			13352.0	13616	7.0	7		true
w3	1	2	rust	common-load	fixture-2	72259	4	3.003598	6	60.0	1.998	0.333			13372.0	13644	7.0	7		true
w3	1	2	rust	common-load	fixture-3	72260	4	3.003537	3	30.0	0.999	0.333			11882.0	13336	7.0	7		true
w3	1	2	rust	common-load	load-generator	72361	4	3.00338	14	140.0	4.661	0.333			15902.0	15940	9.0	9		true
w3	1	2	rust	common-load	sut	72307	4	3.003285	9	90.0	2.997	0.333	75.0	8.333	3236.0	3236	7.0	7		true
w3	1	2	rust	near-saturation	fixture-1	72258	4	3.004151	10	100.0	3.329	0.333			13764.0	13836	7.0	7		true
w3	1	2	rust	near-saturation	fixture-2	72259	4	3.003958	10	100.0	3.329	0.333			13764.0	13836	7.0	7		true
w3	1	2	rust	near-saturation	fixture-3	72260	4	3.003831	5	50.0	1.665	0.333			13534.0	13704	7.0	7		true
w3	1	2	rust	near-saturation	load-generator	72405	4	3.004037	23	230.0	7.656	0.333			15912.0	15940	9.5	10		true
w3	1	2	rust	near-saturation	sut	72307	4	3.003894	17	170.0	5.659	0.333	70.833	4.167	3304.0	3304	7.0	8		true
w3	1	2	rust	overload	fixture-1	72258	4	3.003638	7	70.0	2.331	0.333			13836.0	13836	7.0	7	sender shortfall or scheduled query not sent	false
w3	1	2	rust	overload	fixture-2	72259	4	3.003486	9	90.0	2.997	0.333			13836.0	13836	7.0	7	sender shortfall or scheduled query not sent	false
w3	1	2	rust	overload	fixture-3	72260	4	3.003479	3	30.0	0.999	0.333			13788.0	13836	7.0	7	sender shortfall or scheduled query not sent	false
w3	1	2	rust	overload	load-generator	72447	4	3.003685	19	190.0	6.326	0.333			14250.0	14540	10.0	10	sender shortfall or scheduled query not sent	false
w3	1	2	rust	overload	sut	72307	4	3.003736	12	120.0	3.995	0.333	40.013	3.334	3304.0	3304	7.0	8	sender shortfall or scheduled query not sent	false
w3	1	2	rust	recovery	fixture-1	72258	4	3.003294	2	20.0	0.666	0.333			13842.0	13844	7.0	7	same-process recovery criteria failed	false
w3	1	2	rust	recovery	fixture-2	72259	4	3.00336	1	10.0	0.333	0.333			13842.0	13844	7.0	7	same-process recovery criteria failed	false
w3	1	2	rust	recovery	fixture-3	72260	4	3.003407	0	0.0	0.0	0.333			13840.0	13840	7.0	7	same-process recovery criteria failed	false
w3	1	2	rust	recovery	load-generator	72491	4	3.003233	5	50.0	1.665	0.333			15358.0	16196	9.0	10	same-process recovery criteria failed	false
w3	1	2	rust	recovery	sut	72307	4	3.003194	3	30.0	0.999	0.333	50.0	16.667	3304.0	3304	7.0	8	same-process recovery criteria failed	false
w3	2	1	rust	normal-reference	fixture-1	72638	4	3.003622	2	20.0	0.666	0.333			10734.0	12824	7.0	7		true
w3	2	1	rust	normal-reference	fixture-2	72639	4	3.003427	3	30.0	0.999	0.333			10822.0	12900	7.0	7		true
w3	2	1	rust	normal-reference	fixture-3	72640	4	3.003415	0	0.0	0.0	0.333			10716.0	12808	7.0	7		true
w3	2	1	rust	normal-reference	load-generator	72694	4	3.003622	5	50.0	1.665	0.333			13740.0	13816	9.0	9		true
w3	2	1	rust	normal-reference	sut	72683	4	3.003705	3	30.0	0.999	0.333	50.0	16.667	3116.0	3116	7.0	7		true
w3	2	1	rust	common-load	fixture-1	72638	4	3.003095	3	30.0	0.999	0.333			13276.0	13560	7.0	7		true
w3	2	1	rust	common-load	fixture-2	72639	4	3.003123	4	40.0	1.332	0.333			13378.0	13660	7.0	7		true
w3	2	1	rust	common-load	fixture-3	72640	4	3.003021	2	20.0	0.666	0.333			12834.0	15312	7.0	7		true
w3	2	1	rust	common-load	load-generator	72739	4	3.003063	9	90.0	2.997	0.333			13748.0	13824	9.0	10		true
w3	2	1	rust	common-load	sut	72683	4	3.003034	6	60.0	1.998	0.333	50.0	8.333	3116.0	3116	7.0	7		true
w3	2	1	rust	near-saturation	fixture-1	72638	4	3.002696	7	70.0	2.331	0.333			13690.0	13772	7.0	7		true
w3	2	1	rust	near-saturation	fixture-2	72639	4	3.00266	7	70.0	2.331	0.333			13672.0	13736	7.0	7		true
w3	2	1	rust	near-saturation	fixture-3	72640	4	3.00258	4	40.0	1.332	0.333			15492.0	15656	7.0	7		true
w3	2	1	rust	near-saturation	load-generator	72780	4	3.002693	17	170.0	5.662	0.333			15780.0	15808	10.0	10		true
w3	2	1	rust	near-saturation	sut	72683	4	3.002642	11	110.0	3.663	0.333	45.833	4.167	3184.0	3184	7.0	7		true
w3	2	1	rust	overload	fixture-1	72638	4	3.003112	8	80.0	2.664	0.333			13772.0	13772	7.0	7		true
w3	2	1	rust	overload	fixture-2	72639	4	3.003137	9	90.0	2.997	0.333			13800.0	13864	7.0	7		true
w3	2	1	rust	overload	fixture-3	72640	4	3.003226	4	40.0	1.332	0.333			15732.0	15780	7.0	7		true
w3	2	1	rust	overload	load-generator	72821	4	3.003122	21	210.0	6.993	0.333			14236.0	14500	9.0	11		true
w3	2	1	rust	overload	sut	72683	4	3.003241	14	140.0	4.662	0.333	46.667	3.333	3184.0	3184	7.0	8		true
w3	2	1	rust	recovery	fixture-1	72638	4	3.00357	1	10.0	0.333	0.333			13774.0	13776	7.0	7		true
w3	2	1	rust	recovery	fixture-2	72639	4	3.003617	3	30.0	0.999	0.333			13864.0	13864	7.0	7		true
w3	2	1	rust	recovery	fixture-3	72640	4	3.003778	0	0.0	0.0	0.333			15780.0	15780	7.0	7		true
w3	2	1	rust	recovery	load-generator	72865	4	3.003531	5	50.0	1.665	0.333			13422.0	15788	9.0	10		true
w3	2	1	rust	recovery	sut	72683	4	3.003464	4	40.0	1.332	0.333	66.667	16.667	3184.0	3184	7.0	8		true
w3	2	2	go	normal-reference	fixture-1	73013	4	3.003522	1	10.0	0.333	0.333			11728.0	12796	7.0	7		true
w3	2	2	go	normal-reference	fixture-2	73014	4	3.003553	2	20.0	0.666	0.333			10680.0	10716	7.0	7		true
w3	2	2	go	normal-reference	fixture-3	73015	4	3.00355	0	0.0	0.0	0.333			10792.0	10832	7.0	7		true
w3	2	2	go	normal-reference	load-generator	73080	4	3.003513	4	40.0	1.332	0.333			15716.0	15800	9.0	9		true
w3	2	2	go	normal-reference	sut	73060	4	3.003564	5	50.0	1.665	0.333	83.333	16.667	33352.0	35444	11.0	11		true
w3	2	2	go	common-load	fixture-1	73013	4	3.003735	5	50.0	1.665	0.333			15322.0	15588	7.0	7		true
w3	2	2	go	common-load	fixture-2	73014	4	3.003897	5	50.0	1.665	0.333			13246.0	13512	7.0	7		true
w3	2	2	go	common-load	fixture-3	73015	4	3.003828	2	20.0	0.666	0.333			12916.0	13356	7.0	7		true
w3	2	2	go	common-load	load-generator	73121	4	3.003662	10	100.0	3.329	0.333			13874.0	13916	9.5	10		true
w3	2	2	go	common-load	sut	73060	4	3.003498	9	90.0	2.997	0.333	75.0	8.333	36518.0	39656	11.0	11		true
w3	2	2	go	near-saturation	fixture-1	73013	4	3.003305	7	70.0	2.331	0.333			15724.0	15796	7.0	7		true
w3	2	2	go	near-saturation	fixture-2	73014	4	3.003229	8	80.0	2.664	0.333			13650.0	13728	7.0	7		true
w3	2	2	go	near-saturation	fixture-3	73015	4	3.003221	4	40.0	1.332	0.333			13534.0	13696	7.0	7		true
w3	2	2	go	near-saturation	load-generator	73163	4	3.003474	17	170.0	5.66	0.333			15824.0	15868	9.5	10		true
w3	2	2	go	near-saturation	sut	73060	4	3.003531	14	140.0	4.661	0.333	58.333	4.167	43856.0	48148	11.0	11		true
w3	2	2	go	overload	fixture-1	73013	4	3.003987	6	60.0	1.997	0.333			15804.0	15804	7.0	7		true
w3	2	2	go	overload	fixture-2	73014	4	3.003992	7	70.0	2.33	0.333			13728.0	13728	7.0	7		true
w3	2	2	go	overload	fixture-3	73015	4	3.004053	3	30.0	0.999	0.333			13768.0	13816	7.0	7		true
w3	2	2	go	overload	load-generator	73208	4	3.003852	18	180.0	5.992	0.333			14186.0	14252	10.5	11		true
w3	2	2	go	overload	sut	73060	4	3.003949	14	140.0	4.661	0.333	46.667	3.333	53746.0	55168	11.0	11		true
w3	2	2	go	recovery	fixture-1	73013	4	3.003673	2	20.0	0.666	0.333			15804.0	15804	7.0	7		true
w3	2	2	go	recovery	fixture-2	73014	4	3.003806	3	30.0	0.999	0.333			13728.0	13728	7.0	7		true
w3	2	2	go	recovery	fixture-3	73015	4	3.003944	1	10.0	0.333	0.333			13816.0	13816	7.0	7		true
w3	2	2	go	recovery	load-generator	73248	4	3.003521	5	50.0	1.665	0.333			15432.0	16108	9.0	10		true
w3	2	2	go	recovery	sut	73060	4	3.003427	4	40.0	1.332	0.333	66.667	16.667	55176.0	55184	11.0	11		true
w3	3	1	go	normal-reference	fixture-1	73399	4	3.002573	2	20.0	0.666	0.333			10836.0	12928	7.0	7		true
w3	3	1	go	normal-reference	fixture-2	73400	4	3.002589	2	20.0	0.666	0.333			9796.0	10856	7.0	7		true
w3	3	1	go	normal-reference	fixture-3	73403	4	3.002591	0	0.0	0.0	0.333			10722.0	10760	7.0	7		true
w3	3	1	go	normal-reference	load-generator	73464	4	3.002544	4	40.0	1.332	0.333			13720.0	13824	9.0	9		true
w3	3	1	go	normal-reference	sut	73446	4	3.002698	5	50.0	1.665	0.333	83.333	16.667	33352.0	35500	11.0	11		true
w3	3	1	go	common-load	fixture-1	73399	4	3.003576	3	30.0	0.999	0.333			13406.0	13672	7.0	7		true
w3	3	1	go	common-load	fixture-2	73400	4	3.003535	4	40.0	1.332	0.333			13402.0	13664	7.0	7		true
w3	3	1	go	common-load	fixture-3	73403	4	3.003352	2	20.0	0.666	0.333			11816.0	13288	7.0	7		true
w3	3	1	go	common-load	load-generator	73505	4	3.003612	9	90.0	2.996	0.333			15782.0	15804	9.0	9		true
w3	3	1	go	common-load	sut	73446	4	3.003639	7	70.0	2.331	0.333	58.333	8.333	36586.0	39708	11.0	11		true
w3	3	1	go	near-saturation	fixture-1	73399	4	3.003129	7	70.0	2.331	0.333			13714.0	13832	7.0	7		true
w3	3	1	go	near-saturation	fixture-2	73400	4	3.00306	8	80.0	2.664	0.333			13796.0	13868	7.0	7		true
w3	3	1	go	near-saturation	fixture-3	73403	4	3.003075	4	40.0	1.332	0.333			13454.0	13604	7.0	7		true
w3	3	1	go	near-saturation	load-generator	73547	4	3.003142	19	190.0	6.327	0.333			15826.0	15848	10.0	11		true
w3	3	1	go	near-saturation	sut	73446	4	3.003162	17	170.0	5.661	0.333	70.833	4.167	43918.0	48140	11.0	11		true
w3	3	1	go	overload	fixture-1	73399	4	3.003719	8	80.0	2.663	0.333			13824.0	13888	7.0	7	sender shortfall or scheduled query not sent	false
w3	3	1	go	overload	fixture-2	73400	4	3.003598	10	100.0	3.329	0.333			13868.0	13868	7.0	7	sender shortfall or scheduled query not sent	false
w3	3	1	go	overload	fixture-3	73403	4	3.003606	4	40.0	1.332	0.333			13676.0	13732	7.0	7	sender shortfall or scheduled query not sent	false
w3	3	1	go	overload	load-generator	73592	4	3.003759	23	230.0	7.657	0.333			12662.0	12992	10.5	11	sender shortfall or scheduled query not sent	false
w3	3	1	go	overload	sut	73446	4	3.003901	20	200.0	6.658	0.333	66.689	3.334	53808.0	55248	11.0	11	sender shortfall or scheduled query not sent	false
w3	3	1	go	recovery	fixture-1	73399	4	3.003612	3	30.0	0.999	0.333			13824.0	13888	7.0	7	same-process recovery criteria failed	false
w3	3	1	go	recovery	fixture-2	73400	4	3.003687	3	30.0	0.999	0.333			13868.0	13868	7.0	7	same-process recovery criteria failed	false
w3	3	1	go	recovery	fixture-3	73403	4	3.003827	1	10.0	0.333	0.333			13736.0	13740	7.0	7	same-process recovery criteria failed	false
w3	3	1	go	recovery	load-generator	73633	4	3.003506	5	50.0	1.665	0.333			13268.0	15816	9.0	10	same-process recovery criteria failed	false
w3	3	1	go	recovery	sut	73446	4	3.003413	3	30.0	0.999	0.333	50.0	16.667	55248.0	55248	11.0	11	same-process recovery criteria failed	false
w3	3	2	rust	normal-reference	fixture-1	73787	4	3.003653	2	20.0	0.666	0.333			10856.0	10892	7.0	7		true
w3	3	2	rust	normal-reference	fixture-2	73788	4	3.003713	2	20.0	0.666	0.333			11842.0	12896	7.0	7		true
