scenario	repetition	position	candidate	stage	role	pid	sample_count	sample_interval_s	cpu_ticks	user_system_cpu_ms	cpu_percent_one_core	cpu_resolution_percent_one_core	cpu_us_per_correct_on_time	cpu_resolution_us_per_correct_on_time	rss_median_kib	rss_peak_kib	fd_median	fd_peak	stage_invalid_reason	pair_valid
w1-udp	2	1	rust	near-saturation	sut	66106	4	3.002372	7	70.0	2.331	0.333	29.167	4.167	3246.0	3248	7.5	8		true
w1-udp	2	1	rust	overload	fixture-1	66082	4	3.001921	3	30.0	0.999	0.333			10864.0	10876	7.0	7		true
w1-udp	2	1	rust	overload	load-generator	66225	4	3.001893	16	160.0	5.33	0.333			12696.0	13416	10.0	11		true
w1-udp	2	1	rust	overload	sut	66106	4	3.002065	9	90.0	2.998	0.333	30.0	3.333	3248.0	3248	7.0	8		true
w1-udp	2	1	rust	recovery	fixture-1	66082	4	3.001927	1	10.0	0.333	0.333			10878.0	12944	7.0	7		false
w1-udp	2	1	rust	recovery	load-generator	66261	4	3.001849	6	60.0	1.999	0.333			15606.0	16756	9.0	10		false
w1-udp	2	1	rust	recovery	sut	66106	4	3.00185	3	30.0	0.999	0.333	50.0	16.667	3248.0	3248	7.0	8		false
w1-udp	2	2	go	normal-reference	fixture-1	66394	4	3.001789	2	20.0	0.666	0.333			10834.0	10892	7.0	7		true
w1-udp	2	2	go	normal-reference	load-generator	66434	4	3.001778	4	40.0	1.333	0.333			13736.0	13816	9.0	9		true
w1-udp	2	2	go	normal-reference	sut	66417	4	3.001808	3	30.0	0.999	0.333	50.0	16.667	35818.0	36872	9.0	9		true
w1-udp	2	2	go	common-load	fixture-1	66394	4	3.002294	1	10.0	0.333	0.333			10900.0	10908	7.0	7		true
w1-udp	2	2	go	common-load	load-generator	66470	4	3.002177	7	70.0	2.332	0.333			13796.0	13868	9.0	10		true
w1-udp	2	2	go	common-load	sut	66417	4	3.002147	6	60.0	1.999	0.333	50.0	8.333	37942.0	39004	9.0	9		true
w1-udp	2	2	go	near-saturation	fixture-1	66394	4	3.002356	4	40.0	1.332	0.333			12964.0	12980	7.0	7		true
w1-udp	2	2	go	near-saturation	load-generator	66508	4	3.002208	19	190.0	6.329	0.333			13862.0	13900	10.0	11		true
w1-udp	2	2	go	near-saturation	sut	66417	4	3.002248	12	120.0	3.997	0.333	50.0	4.167	42156.0	47360	9.0	9		true
w1-udp	2	2	go	overload	fixture-1	66394	4	3.001851	4	40.0	1.333	0.333			12992.0	13008	7.0	7		true
w1-udp	2	2	go	overload	load-generator	66542	4	3.001957	18	180.0	5.996	0.333			14028.0	14052	10.0	11		true
w1-udp	2	2	go	overload	sut	66417	4	3.00211	11	110.0	3.664	0.333	36.667	3.333	50532.0	53712	9.0	9		true
w1-udp	2	2	go	recovery	fixture-1	66394	4	3.001911	2	20.0	0.666	0.333			14042.0	15076	7.0	7	same-process recovery criteria failed	false
w1-udp	2	2	go	recovery	load-generator	66577	4	3.001873	4	40.0	1.333	0.333			14028.0	16644	9.0	10	same-process recovery criteria failed	false
w1-udp	2	2	go	recovery	sut	66417	4	3.001812	2	20.0	0.666	0.333	33.333	16.667	55780.0	55796	9.0	9	same-process recovery criteria failed	false
w1-udp	3	1	go	normal-reference	fixture-1	66717	4	3.003214	1	10.0	0.333	0.333			10710.0	10800	7.0	7		true
w1-udp	3	1	go	normal-reference	load-generator	66758	4	3.003168	6	60.0	1.998	0.333			13730.0	13816	9.0	10		true
w1-udp	3	1	go	normal-reference	sut	66741	4	3.003099	4	40.0	1.332	0.333	66.667	16.667	32684.0	32712	9.0	9		true
w1-udp	3	1	go	common-load	fixture-1	66717	4	3.002909	3	30.0	0.999	0.333			10808.0	10816	7.0	7		true
w1-udp	3	1	go	common-load	load-generator	66794	4	3.002896	8	80.0	2.664	0.333			13804.0	13844	9.0	10		true
w1-udp	3	1	go	common-load	sut	66741	4	3.00297	5	50.0	1.665	0.333	41.667	8.333	34812.0	36908	9.0	9		true
w1-udp	3	1	go	near-saturation	fixture-1	66717	4	3.001729	4	40.0	1.333	0.333			11848.0	12888	7.0	7	sender shortfall or scheduled query not sent	false
w1-udp	3	1	go	near-saturation	load-generator	66832	4	3.001735	15	150.0	4.997	0.333			15770.0	15836	9.5	10	sender shortfall or scheduled query not sent	false
w1-udp	3	1	go	near-saturation	sut	66741	4	3.001889	10	100.0	3.331	0.333	41.684	4.168	40062.0	43204	9.0	9	sender shortfall or scheduled query not sent	false
w1-udp	3	1	go	overload	fixture-1	66717	4	3.001797	4	40.0	1.333	0.333			12900.0	12916	7.0	7		true
w1-udp	3	1	go	overload	load-generator	66867	4	3.001853	18	180.0	5.996	0.333			14276.0	14548	9.5	12		true
w1-udp	3	1	go	overload	sut	66741	4	3.001851	11	110.0	3.664	0.333	36.667	3.333	47414.0	51612	9.0	9		true
w1-udp	3	1	go	recovery	fixture-1	66717	4	3.002558	1	10.0	0.333	0.333			12920.0	14976	7.0	7	same-process recovery criteria failed	false
w1-udp	3	1	go	recovery	load-generator	66902	4	3.002474	7	70.0	2.331	0.333			13782.0	16504	9.0	10	same-process recovery criteria failed	false
w1-udp	3	1	go	recovery	sut	66741	4	3.002531	4	40.0	1.332	0.333	66.667	16.667	51624.0	53692	9.0	9	same-process recovery criteria failed	false
w1-udp	3	2	rust	normal-reference	fixture-1	67044	4	3.002339	1	10.0	0.333	0.333			10770.0	10828	7.0	7		true
w1-udp	3	2	rust	normal-reference	load-generator	67079	4	3.002272	5	50.0	1.665	0.333			15684.0	15764	9.0	9		true
w1-udp	3	2	rust	normal-reference	sut	67067	4	3.002249	1	10.0	0.333	0.333	16.667	16.667	3224.0	3224	7.0	7		true
w1-udp	3	2	rust	common-load	fixture-1	67044	4	3.002938	2	20.0	0.666	0.333			10838.0	10840	7.0	7		true
w1-udp	3	2	rust	common-load	load-generator	67115	4	3.002855	9	90.0	2.997	0.333			13832.0	13880	9.5	10		true
w1-udp	3	2	rust	common-load	sut	67067	4	3.002826	5	50.0	1.665	0.333	41.667	8.333	3224.0	3224	7.5	8		true
w1-udp	3	2	rust	near-saturation	fixture-1	67044	4	3.002362	4	40.0	1.332	0.333			10848.0	12912	7.0	7		false
w1-udp	3	2	rust	near-saturation	load-generator	67153	4	3.00248	18	180.0	5.995	0.333			13850.0	13920	10.0	10		false
w1-udp	3	2	rust	near-saturation	sut	67067	4	3.002611	10	100.0	3.33	0.333	41.667	4.167	3290.0	3292	7.5	8		false
w1-udp	3	2	rust	overload	fixture-1	67044	4	3.00287	4	40.0	1.332	0.333			12920.0	12932	7.0	7		true
w1-udp	3	2	rust	overload	load-generator	67189	4	3.002901	19	190.0	6.327	0.333			14724.0	14748	10.0	10		true
w1-udp	3	2	rust	overload	sut	67067	4	3.002934	10	100.0	3.33	0.333	33.333	3.333	3292.0	3292	7.0	7		true
w1-udp	3	2	rust	recovery	fixture-1	67044	4	3.002083	3	30.0	0.999	0.333			12934.0	12936	7.0	7		false
w1-udp	3	2	rust	recovery	load-generator	67226	4	3.002004	6	60.0	1.999	0.333			14114.0	16708	9.0	10		false
w1-udp	3	2	rust	recovery	sut	67067	4	3.001924	3	30.0	0.999	0.333	50.0	16.667	3292.0	3292	7.0	8		false
w1-tcp	1	1	go	normal-reference	fixture-1	67359	4	3.002592	4	40.0	1.332	0.333			10688.0	10728	7.0	7		true
w1-tcp	1	1	go	normal-reference	load-generator	67407	4	3.002625	8	80.0	2.664	0.333			10932.0	13036	9.0	10		true
w1-tcp	1	1	go	normal-reference	sut	67384	4	3.002557	12	120.0	3.997	0.333	200.0	16.667	32640.0	34736	8.0	9		true
w1-tcp	1	1	go	common-load	fixture-1	67359	4	3.002946	5	50.0	1.665	0.333			10762.0	12820	7.0	7		true
w1-tcp	1	1	go	common-load	load-generator	67442	4	3.00297	12	120.0	3.996	0.333			12180.0	13492	9.5	10		true
w1-tcp	1	1	go	common-load	sut	67384	4	3.002965	16	160.0	5.328	0.333	133.333	8.333	37900.0	41072	9.0	9		true
w1-tcp	1	1	go	near-saturation	fixture-1	67359	4	3.003069	11	110.0	3.663	0.333			12850.0	15312	7.0	7		true
w1-tcp	1	1	go	near-saturation	load-generator	67478	4	3.003067	21	210.0	6.993	0.333			13592.0	13852	9.5	10		true
w1-tcp	1	1	go	near-saturation	sut	67384	4	3.003058	32	320.0	10.656	0.333	133.333	4.167	49444.0	54552	9.0	9		true
w1-tcp	1	1	go	overload	fixture-1	67359	4	3.003172	13	130.0	4.329	0.333			15352.0	15360	7.0	7		true
w1-tcp	1	1	go	overload	load-generator	67513	4	3.003073	25	250.0	8.325	0.333			14124.0	14192	9.5	11		true
w1-tcp	1	1	go	overload	sut	67384	4	3.003011	37	370.0	12.321	0.333	123.333	3.333	54572.0	54592	8.0	9		true
w1-tcp	1	1	go	recovery	fixture-1	67359	4	3.002766	5	50.0	1.665	0.333			15360.0	15360	7.0	7	same-process recovery criteria failed	false
