scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	567.0000,534.0000,608.0000	574.0000,595.0000,885.0000	1.2346,11.4232,45.5592	0.0582	11.64%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	804.0000,955.0000,1337.0000	1212.0000,915.0000,2005.0000	50.7463,-4.1885,49.9626	0.1581	31.62%	2		repeatable regression
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,116.6667,133.3333	133.3333,116.6667,150.0000	14.2857,0.0000,12.5000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3064.0000,3112.0000,3128.0000	3144.0000,2976.0000,2992.0000	2.6110,-4.3702,-4.3478	0.0051	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	574.0000,595.0000,885.0000	529.0000,567.0000,675.0000	-7.8397,-4.7059,-23.7288	0.0353	10.00%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1212.0000,915.0000,2005.0000	778.0000,950.0000,1073.0000	-35.8086,3.8251,-46.4838	0.2450	49.01%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,116.6667,150.0000	100.0000,133.3333,150.0000	-25.0000,14.2857,0.0000	0.1250	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3144.0000,2976.0000,2992.0000	3000.0000,3120.0000,3064.0000	-4.5802,4.8387,2.4064	0.0053	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	493.0000,480.0000,503.0000	508.0000,543.0000,558.0000	3.0426,13.1250,10.9344	0.0203	10.00%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	866.0000,701.0000,943.0000	867.0000,1261.0000,941.0000	0.1155,79.8859,-0.2121	0.0889	17.78%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	100.0000,116.6667,125.0000	108.3333,108.3333,125.0000	8.3333,-7.1429,0.0000	0.0714	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3068.0000,3116.0000,3128.0000	3148.0000,2980.0000,2996.0000	2.6076,-4.3646,-4.2199	0.0039	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	508.0000,543.0000,558.0000	514.0000,417.0000,659.0000	1.1811,-23.2044,18.1004	0.0276	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p99_us	3	867.0000,1261.0000,941.0000	937.0000,623.0000,1058.0000	8.0738,-50.5948,12.4336	0.0786	15.73%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	108.3333,108.3333,125.0000	116.6667,91.6667,133.3333	7.6923,-15.3846,6.6667	0.0000	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3148.0000,2980.0000,2996.0000	3004.0000,3120.0000,3068.0000	-4.5743,4.6980,2.4032	0.0053	32768 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p95_us	3	338.0000,298.0000,332.0000	279.0000,326.0000,283.0000	-17.4556,9.3960,-14.7590	0.0181	10.00%	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p99_us	3	528.0000,408.0000,458.0000	489.0000,498.0000,398.0000	-7.3864,22.0588,-13.1004	0.1092	21.83%	1		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	50.0000,50.0000,33.3333	0.0000,0.0000,-33.3333	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3124.0000,3248.0000,3160.0000	3196.0000,3192.0000,3240.0000	2.3047,-1.7241,2.5316	0.0114	8192 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	p95_us	3	279.0000,326.0000,283.0000	328.0000,309.0000,292.0000	17.5627,-5.2147,3.1802	0.0141	10.00%	1		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	p99_us	3	489.0000,498.0000,398.0000	426.0000,665.0000,347.0000	-12.8834,33.5341,-12.8141	0.0184	10.00%	1		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,50.0000,33.3333	50.0000,50.0000,33.3333	0.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3196.0000,3192.0000,3240.0000	3116.0000,3272.0000,3200.0000	-2.5031,2.5063,-1.2346	0.0013	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	p95_us	3	446.0000,339.0000,374.0000	345.0000,329.0000,369.0000	-22.6457,-2.9499,-1.3369	0.0936	18.72%	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	p99_us	3	1909.0000,547.0000,1106.0000	628.0000,563.0000,568.0000	-67.1032,2.9250,-48.6438	0.5054	101.08%	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	50.0000,50.0000,50.0000	0.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3240.0000,3124.0000,3164.0000	3288.0000,3280.0000,3252.0000	1.4815,4.9936,2.7813	0.0126	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p95_us	3	345.0000,329.0000,369.0000	395.0000,657.0000,357.0000	14.4928,99.6960,-3.2520	0.0464	10.00%	2		repeatable regression
w2	warm	200	after_on_vs_after_off	p99_us	3	628.0000,563.0000,568.0000	845.0000,1177.0000,611.0000	34.5541,109.0586,7.5704	0.0088	10.00%	2		repeatable regression
w2	warm	200	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	50.0000,50.0000,50.0000	0.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3288.0000,3280.0000,3252.0000	3248.0000,3260.0000,3164.0000	-1.2165,-0.6098,-2.7060	0.0024	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p95_us	3	237.0000,229.0000,298.0000	252.0000,233.0000,311.0000	6.3291,1.7467,4.3624	0.0338	10.00%	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p99_us	3	353.0000,316.0000,465.0000	418.0000,375.0000,585.0000	18.4136,18.6709,25.8065	0.1048	20.96%	1		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	cpu_us_per_correct_query	3	33.3333,33.3333,50.0000	41.6667,41.6667,50.0000	25.0000,25.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3240.0000,3124.0000,3164.0000	3288.0000,3280.0000,3252.0000	1.4815,4.9936,2.7813	0.0126	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p95_us	3	252.0000,233.0000,311.0000	272.0000,233.0000,253.0000	7.9365,0.0000,-18.6495	0.0754	15.08%	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p99_us	3	418.0000,375.0000,585.0000	578.0000,345.0000,380.0000	38.2775,-8.0000,-35.0427	0.1029	20.57%	1		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	cpu_us_per_correct_query	3	41.6667,41.6667,50.0000	50.0000,41.6667,41.6667	20.0000,0.0000,-16.6667	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3288.0000,3280.0000,3252.0000	3248.0000,3260.0000,3164.0000	-1.2165,-0.6098,-2.7060	0.0024	32768 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p95_us	3	672.0000,744.0000,881.0000	843.0000,1195.0000,658.0000	25.4464,60.6183,-25.3121	0.0968	19.35%	2		repeatable regression
w3	main	200	after_off_vs_before_off	p99_us	3	988.0000,1011.0000,1280.0000	1398.0000,2502.0000,952.0000	41.4980,147.4777,-25.6250	0.0227	10.00%	2		repeatable regression
w3	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	100.0000,116.6667,116.6667	116.6667,166.6667,100.0000	16.6667,42.8571,-14.2857	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3152.0000,3240.0000,3252.0000	3188.0000,3152.0000,3184.0000	1.1421,-2.7160,-2.0910	0.0037	8192 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p95_us	3	843.0000,1195.0000,658.0000	734.0000,686.0000,850.0000	-12.9300,-42.5941,29.1793	0.2195	43.89%	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p99_us	3	1398.0000,2502.0000,952.0000	942.0000,1104.0000,1424.0000	-32.6180,-55.8753,49.5798	0.3190	63.81%	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	116.6667,166.6667,100.0000	100.0000,116.6667,116.6667	-14.2857,-30.0000,16.6667	0.1429	28.57%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3188.0000,3152.0000,3184.0000	3128.0000,3124.0000,3156.0000	-1.8821,-0.8883,-0.8794	0.0013	32768 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p95_us	3	647.0000,624.0000,863.0000	595.0000,649.0000,721.0000	-8.0371,4.0064,-16.4542	0.0355	10.00%	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p99_us	3	1077.0000,912.0000,1717.0000	1065.0000,1291.0000,1229.0000	-1.1142,41.5570,-28.4217	0.1532	30.64%	1		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	91.6667,83.3333,108.3333	100.0000,83.3333,100.0000	9.0909,0.0000,-7.6923	0.0909	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3220.0000,3240.0000,3320.0000	3256.0000,3220.0000,3252.0000	1.1180,-0.6173,-2.0482	0.0062	8192 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	p95_us	3	595.0000,649.0000,721.0000	629.0000,588.0000,592.0000	5.7143,-9.3991,-17.8918	0.0832	16.64%	0		no repeatable regression under frozen guard
