scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w2	warm	200	after_off_vs_before_off	p95_us	3	516.0000,317.0000,530.0000	290.0000,303.0000,308.0000	-43.7984,-4.4164,-41.8868	0.0271	10.00%	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	p99_us	3	835.0000,556.0000,867.0000	415.0000,466.0000,465.0000	-50.2994,-16.1871,-46.3668	0.0383	10.00%	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	cpu_us_per_correct_query	3	66.6667,33.3333,66.6667	33.3333,50.0000,50.0000	-50.0000,50.0000,-25.0000	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3180.0000,3228.0000,3276.0000	3224.0000,3300.0000,3260.0000	1.3836,2.2305,-0.4884	0.0149	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p95_us	3	290.0000,303.0000,308.0000	344.0000,315.0000,298.0000	18.6207,3.9604,-3.2468	0.0165	10.00%	1		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p99_us	3	415.0000,466.0000,465.0000	595.0000,412.0000,484.0000	43.3735,-11.5880,4.0860	0.0022	10.00%	1		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	cpu_us_per_correct_query	3	33.3333,50.0000,50.0000	66.6667,50.0000,50.0000	100.0000,0.0000,0.0000	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3224.0000,3300.0000,3260.0000	3408.0000,3496.0000,3440.0000	5.7072,5.9394,5.5215	0.0110	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p95_us	3	302.0000,296.0000,255.0000	284.0000,288.0000,258.0000	-5.9603,-2.7027,1.1765	0.0203	10.00%	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p99_us	3	795.0000,607.0000,348.0000	517.0000,642.0000,464.0000	-34.9686,5.7661,33.3333	0.3097	61.94%	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	cpu_us_per_correct_query	3	41.6667,50.0000,41.6667	33.3333,50.0000,41.6667	-20.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3184.0000,3232.0000,3276.0000	3224.0000,3300.0000,3260.0000	1.2563,2.1040,-0.4884	0.0136	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p95_us	3	284.0000,288.0000,258.0000	274.0000,293.0000,268.0000	-3.5211,1.7361,3.8760	0.0141	10.00%	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p99_us	3	517.0000,642.0000,464.0000	452.0000,493.0000,417.0000	-12.5725,-23.2087,-10.1293	0.1025	20.50%	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	cpu_us_per_correct_query	3	33.3333,50.0000,41.6667	50.0000,58.3333,50.0000	50.0000,16.6667,20.0000	0.2000	40.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3224.0000,3300.0000,3260.0000	4352.0000,4440.0000,4384.0000	34.9876,34.5455,34.4785	0.0110	32768 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p95_us	3	842.0000,677.0000,633.0000	687.0000,651.0000,860.0000	-18.4086,-3.8405,35.8610	0.0650	13.00%	1		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p99_us	3	1336.0000,1247.0000,802.0000	1083.0000,948.0000,1482.0000	-18.9371,-23.9775,84.7880	0.0714	14.27%	1		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,83.3333,83.3333	116.6667,100.0000,133.3333	0.0000,20.0000,60.0000	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3152.0000,3244.0000,3228.0000	3220.0000,3300.0000,3300.0000	2.1574,1.7263,2.2305	0.0050	8192 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p95_us	3	687.0000,651.0000,860.0000	830.0000,830.0000,827.0000	20.8151,27.4962,-3.8372	0.0524	10.48%	2		repeatable regression
w3	main	200	after_on_vs_after_off	p99_us	3	1083.0000,948.0000,1482.0000	1282.0000,1278.0000,1588.0000	18.3749,34.8101,7.1525	0.1247	24.93%	1		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	116.6667,100.0000,133.3333	133.3333,116.6667,133.3333	14.2857,16.6667,0.0000	0.1429	28.57%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3220.0000,3300.0000,3300.0000	3556.0000,3524.0000,3624.0000	10.4348,6.7879,9.8182	0.0000	32768 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p95_us	3	598.0000,574.0000,584.0000	587.0000,542.0000,661.0000	-1.8395,-5.5749,13.1849	0.0171	10.00%	1		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p99_us	3	880.0000,835.0000,805.0000	1197.0000,864.0000,1064.0000	36.0227,3.4731,32.1739	0.0359	10.00%	2		repeatable regression
w3	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	83.3333,83.3333,83.3333	83.3333,83.3333,100.0000	0.0000,0.0000,20.0000	0.0000	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3220.0000,3312.0000,3296.0000	3220.0000,3368.0000,3368.0000	0.0000,1.6908,2.1845	0.0049	8192 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	p95_us	3	587.0000,542.0000,661.0000	659.0000,667.0000,766.0000	12.2658,23.0627,15.8850	0.0767	15.33%	2		repeatable regression
w3	main	400	after_on_vs_after_off	p99_us	3	1197.0000,864.0000,1064.0000	1246.0000,1029.0000,1299.0000	4.0936,19.0972,22.0865	0.1250	25.00%	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	83.3333,83.3333,100.0000	100.0000,91.6667,116.6667	20.0000,10.0000,16.6667	0.0000	25.00%	0	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3220.0000,3368.0000,3368.0000	5136.0000,5100.0000,5276.0000	59.5031,51.4252,56.6508	0.0000	32768 KiB	0		no repeatable regression under frozen guard
