scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	629.0000,564.0000,758.0000	656.0000,580.0000,584.0000	4.2925,2.8369,-22.9551	0.1033	20.67%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	1086.0000,914.0000,1665.0000	1171.0000,896.0000,940.0000	7.8269,-1.9694,-43.5435	0.1584	31.68%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	132.0000,132.0000,154.0000	142.0000,136.0000,136.0000	7.5758,3.0303,-11.6883	0.0000	25.00%	0	0	no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3172.0000,3144.0000,3136.0000	3000.0000,3160.0000,3144.0000	-5.4224,0.5089,0.2551	0.0025	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	656.0000,580.0000,584.0000	566.0000,605.0000,700.0000	-13.7195,4.3103,19.8630	0.0068	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1171.0000,896.0000,940.0000	850.0000,950.0000,1466.0000	-27.4125,6.0268,55.9574	0.0468	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	142.0000,136.0000,136.0000	134.0000,132.0000,148.0000	-5.6338,-2.9412,8.8235	0.0000	25.00%	0	0	no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3000.0000,3160.0000,3144.0000	3132.0000,3136.0000,3028.0000	4.4000,-0.7595,-3.6896	0.0051	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	503.0000,633.0000,499.0000	527.0000,519.0000,577.0000	4.7714,-18.0095,15.6313	0.0080	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	913.0000,1359.0000,851.0000	1059.0000,934.0000,1095.0000	15.9912,-31.2730,28.6722	0.0679	13.58%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	105.0000,124.0000,108.0000	107.0000,109.0000,113.0000	1.9048,-12.0968,4.6296	0.0278	25.00%	0	0	no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3176.0000,3152.0000,3136.0000	3008.0000,3164.0000,3148.0000	-5.2897,0.3807,0.3827	0.0051	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	527.0000,519.0000,577.0000	488.0000,502.0000,662.0000	-7.4004,-3.2755,14.7314	0.0152	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p99_us	3	1059.0000,934.0000,1095.0000	804.0000,893.0000,1484.0000	-24.0793,-4.3897,35.5251	0.0340	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	107.0000,109.0000,113.0000	107.0000,105.0000,129.0000	0.0000,-3.6697,14.1593	0.0183	25.00%	0	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3008.0000,3164.0000,3148.0000	3136.0000,3140.0000,3032.0000	4.2553,-0.7585,-3.6849	0.0051	32768 KiB	0		no repeatable regression under frozen guard
