scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w2	warm	200	after_off_vs_before_off	p95_us	3	474.0000,330.0000,301.0000	560.0000,306.0000,374.0000	18.1435,-7.2727,24.2525	0.0879	17.58%	2		repeatable regression
w2	warm	200	after_off_vs_before_off	p99_us	3	1003.0000,599.0000,434.0000	1490.0000,488.0000,681.0000	48.5543,-18.5309,56.9124	0.2755	55.09%	1		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	50.0000,50.0000,50.0000	0.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3148.0000,3284.0000,3148.0000	3340.0000,3352.0000,3316.0000	6.0991,2.0706,5.3367	0.0000	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p95_us	3	560.0000,306.0000,374.0000	302.0000,337.0000,651.0000	-46.0714,10.1307,74.0642	0.1818	36.36%	1		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p99_us	3	1490.0000,488.0000,681.0000	439.0000,494.0000,1225.0000	-70.5369,1.2295,79.8825	0.2834	56.68%	1		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	50.0000,50.0000,66.6667	0.0000,0.0000,33.3333	0.0000	25.00%	1	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3340.0000,3352.0000,3316.0000	3332.0000,3460.0000,3452.0000	-0.2395,3.2220,4.1013	0.0036	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p95_us	3	306.0000,269.0000,235.0000	336.0000,254.0000,282.0000	9.8039,-5.5762,20.0000	0.1264	25.28%	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p99_us	3	952.0000,486.0000,379.0000	1212.0000,484.0000,429.0000	27.3109,-0.4115,13.1926	0.2202	44.03%	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,50.0000,33.3333	50.0000,41.6667,41.6667	0.0000,-16.6667,25.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
