scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	503.0000,687.0000,687.0000	550.0000,523.0000,1073.0000	9.3439,-23.8719,56.1863	0.0000	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	713.0000,1072.0000,1961.0000	1235.0000,704.0000,2509.0000	73.2118,-34.3284,27.9449	0.3349	66.98%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,133.3333,116.6667	133.3333,116.6667,150.0000	14.2857,-12.5000,28.5714	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3060.0000,3140.0000,3036.0000	3064.0000,3208.0000,3224.0000	0.1307,2.1656,6.1924	0.0078	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	550.0000,523.0000,1073.0000	603.0000,540.0000,563.0000	9.6364,3.2505,-47.5303	0.0491	10.00%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1235.0000,704.0000,2509.0000	1022.0000,681.0000,867.0000	-17.2470,-3.2670,-65.4444	0.4300	85.99%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,116.6667,150.0000	133.3333,133.3333,116.6667	0.0000,14.2857,-22.2222	0.1250	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3064.0000,3208.0000,3224.0000	3544.0000,3660.0000,3592.0000	15.6658,14.0898,11.4144	0.0050	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	416.0000,444.0000,613.0000	461.0000,478.0000,624.0000	10.8173,7.6577,1.7945	0.0631	12.61%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	585.0000,636.0000,1472.0000	695.0000,797.0000,1673.0000	18.8034,25.3145,13.6549	0.0802	16.04%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	91.6667,100.0000,125.0000	108.3333,100.0000,133.3333	18.1818,0.0000,6.6667	0.0833	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3064.0000,3144.0000,3040.0000	3064.0000,3208.0000,3228.0000	0.0000,2.0356,6.1842	0.0078	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	2	461.0000,478.0000	626.0000,438.0000	35.7918,-8.3682	0.0181	10.00%	1		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	p99_us	2	695.0000,797.0000	1786.0000,637.0000	156.9784,-20.0753	0.0684	13.67%	1		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	2	108.3333,100.0000	116.6667,100.0000	7.6923,0.0000	0.0400	25.00%	0	2	inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	2	3064.0000,3208.0000	5272.0000,5388.0000	72.0627,67.9551	0.0230	32768 KiB	0		inconclusive: fewer than 3 valid pairs
w2	cold	200	after_off_vs_before_off	p95_us	3	436.0000,359.0000,305.0000	332.0000,325.0000,328.0000	-23.8532,-9.4708,7.5410	0.1504	30.08%	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p99_us	3	1117.0000,618.0000,447.0000	496.0000,487.0000,566.0000	-55.5953,-21.1974,26.6219	0.2767	55.34%	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,33.3333,33.3333	50.0000,50.0000,50.0000	0.0000,50.0000,50.0000	0.0000	25.00%	2	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3136.0000,3188.0000,3212.0000	3324.0000,3320.0000,3216.0000	5.9949,4.1405,0.1245	0.0075	8192 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	p95_us	3	332.0000,325.0000,328.0000	304.0000,308.0000,317.0000	-8.4337,-5.2308,-3.3537	0.0091	10.00%	0		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	p99_us	3	496.0000,487.0000,566.0000	410.0000,414.0000,453.0000	-17.3387,-14.9897,-19.9647	0.0181	10.00%	0		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	33.3333,50.0000,50.0000	-33.3333,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3324.0000,3320.0000,3216.0000	3468.0000,3376.0000,3388.0000	4.3321,1.6867,5.3483	0.0012	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	p95_us	3	375.0000,308.0000,323.0000	284.0000,338.0000,343.0000	-24.2667,9.7403,6.1920	0.0464	10.00%	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	p99_us	3	675.0000,445.0000,481.0000	439.0000,664.0000,615.0000	-34.9630,49.2135,27.8586	0.0748	14.97%	2		repeatable regression
w2	warm	200	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,33.3333,33.3333	50.0000,50.0000,33.3333	0.0000,50.0000,0.0000	0.0000	25.00%	1	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3140.0000,3196.0000,3268.0000	3252.0000,3332.0000,3340.0000	3.5669,4.2553,2.2032	0.0175	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p95_us	3	284.0000,338.0000,343.0000	334.0000,336.0000,331.0000	17.6056,-0.5917,-3.4985	0.0148	10.00%	1		no repeatable regression under frozen guard
