scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	298	628	903	200	7	116.66666666666667	3024	0.51 0.46 0.28	0.47 0.46 0.28
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	190	437	666	400	11	91.66666666666667	3028	0.51 0.46 0.28	0.47 0.46 0.28
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	335	764	1489	200	8	133.33333333333334	3168	0.47 0.46 0.28	0.64 0.49 0.30
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	274	601	1261	400	15	125.0	3172	0.47 0.46 0.28	0.64 0.49 0.30
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	275	537	711	200	7	116.66666666666667	3596	0.64 0.49 0.30	0.52 0.47 0.29
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	221	484	685	400	12	100.0	5388	0.64 0.49 0.30	0.52 0.47 0.29
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	275	530	697	200	7	116.66666666666667	3140	0.52 0.47 0.29	0.37 0.44 0.29
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	199	433	701	400	12	100.0	3144	0.52 0.47 0.29	0.37 0.44 0.29
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	370	764	1723	200	9	150.0	3628	0.37 0.44 0.29	0.29 0.42 0.28
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	237	543	1347	400	15	125.0	5424	0.37 0.44 0.29	0.29 0.42 0.28
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	286	563	1025	200	7	116.66666666666667	3168	0.29 0.42 0.28	0.42 0.44 0.29
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	246	562	1075	400	14	116.66666666666667	3172	0.29 0.42 0.28	0.42 0.44 0.29
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	270	527	749	200	7	116.66666666666667	3480	0.42 0.44 0.29	0.52 0.46 0.30
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	212	504	1423	400	13	108.33333333333333	5280	0.42 0.44 0.29	0.52 0.46 0.30
