scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	579.0000,564.0000,724.0000	692.0000,525.0000,851.0000	19.5164,-6.9149,17.5414	0.0259	10.00%	2		repeatable regression
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	1100.0000,768.0000,1333.0000	1378.0000,719.0000,2097.0000	25.2727,-6.3802,57.3143	0.2118	42.36%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	133.3333,116.6667,133.3333	150.0000,116.6667,150.0000	12.5000,0.0000,12.5000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3004.0000,3044.0000,3104.0000	3176.0000,3068.0000,3056.0000	5.7257,0.7884,-1.5464	0.0131	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	692.0000,525.0000,851.0000	531.0000,816.0000,521.0000	-23.2659,55.4286,-38.7779	0.2298	45.95%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1378.0000,719.0000,2097.0000	688.0000,1455.0000,783.0000	-50.0726,102.3644,-62.6609	0.4782	95.65%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	150.0000,116.6667,150.0000	116.6667,150.0000,116.6667	-22.2222,28.5714,-22.2222	0.0000	25.00%	1	0	no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3176.0000,3068.0000,3056.0000	3644.0000,3616.0000,3692.0000	14.7355,17.8618,20.8115	0.0039	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	2	455.0000,540.0000	674.0000,483.0000	48.1319,-10.5556	0.0854	17.09%	1		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_off_vs_before_off	p99_us	2	649.0000,1204.0000	1522.0000,680.0000	134.5146,-43.5216	0.2995	59.90%	1		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	2	83.3333,108.3333	141.6667,108.3333	70.0000,0.0000	0.1304	26.09%	1	1	inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	2	3008.0000,3048.0000	3180.0000,3068.0000	5.7181,0.6562	0.0066	8192 KiB	0		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	p95_us	2	674.0000,483.0000	506.0000,910.0000	-24.9258,88.4058	0.1651	33.02%	1		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	p99_us	2	1522.0000,680.0000	770.0000,1914.0000	-49.4087,181.4706	0.3824	76.48%	1		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	2	141.6667,108.3333	116.6667,150.0000	-17.6471,38.4615	0.1333	26.67%	1	0	inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	2	3180.0000,3068.0000	5372.0000,5352.0000	68.9308,74.4459	0.0179	32768 KiB	0		inconclusive: fewer than 3 valid pairs
w2	cold	200	after_off_vs_before_off	p95_us	3	353.0000,280.0000,315.0000	334.0000,307.0000,315.0000	-5.3824,9.6429,0.0000	0.1111	22.22%	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p99_us	3	716.0000,337.0000,420.0000	427.0000,497.0000,528.0000	-40.3631,47.4777,25.7143	0.1976	39.52%	1		no repeatable regression under frozen guard
