scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	547.0000,563.0000,569.0000	667.0000,490.0000,630.0000	21.9378,-12.9663,10.7206	0.0107	10.00%	2		repeatable regression
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	766.0000,811.0000,987.0000	1316.0000,758.0000,1168.0000	71.8016,-6.5351,18.3384	0.0555	11.10%	2		repeatable regression
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,100.0000,116.6667	133.3333,100.0000,133.3333	14.2857,0.0000,14.2857	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3144.0000,3140.0000,3152.0000	3132.0000,3212.0000,3140.0000	-0.3817,2.2930,-0.3807	0.0013	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	667.0000,490.0000,630.0000	515.0000,644.0000,498.0000	-22.7886,31.4286,-20.9524	0.0587	11.75%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1316.0000,758.0000,1168.0000	703.0000,1154.0000,662.0000	-46.5805,52.2427,-43.3219	0.1267	25.34%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,100.0000,133.3333	116.6667,150.0000,116.6667	-12.5000,50.0000,-12.5000	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3132.0000,3212.0000,3140.0000	3524.0000,3612.0000,3612.0000	12.5160,12.4533,15.0318	0.0025	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	434.0000,1000.0000,617.0000	499.0000,445.0000,564.0000	14.9770,-55.5000,-8.5900	0.2966	59.32%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	744.0000,3059.0000,1339.0000	964.0000,634.0000,958.0000	29.5699,-79.2743,-28.4541	0.4444	88.87%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	100.0000,116.6667,100.0000	108.3333,108.3333,116.6667	8.3333,-7.1429,16.6667	0.0000	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3148.0000,3148.0000,3156.0000	3132.0000,3212.0000,3140.0000	-0.5083,2.0330,-0.5070	0.0000	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	499.0000,445.0000,564.0000	527.0000,452.0000,474.0000	5.6112,1.5730,-15.9574	0.1082	21.64%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p99_us	3	964.0000,634.0000,958.0000	789.0000,736.0000,644.0000	-18.1535,16.0883,-32.7766	0.0063	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	108.3333,108.3333,116.6667	125.0000,108.3333,100.0000	15.3846,0.0000,-14.2857	0.0000	25.00%	0	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3132.0000,3212.0000,3140.0000	5328.0000,5412.0000,5416.0000	70.1149,68.4932,72.4841	0.0025	32768 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p95_us	3	297.0000,286.0000,370.0000	317.0000,289.0000,527.0000	6.7340,1.0490,42.4324	0.0370	10.00%	1		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p99_us	3	393.0000,384.0000,659.0000	431.0000,410.0000,1592.0000	9.6692,6.7708,141.5781	0.0229	10.00%	1		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	cpu_us_per_correct_query	3	33.3333,33.3333,50.0000	50.0000,33.3333,50.0000	50.0000,0.0000,0.0000	0.0000	25.00%	1	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3164.0000,3216.0000,3236.0000	3296.0000,3260.0000,3292.0000	4.1719,1.3682,1.7305	0.0062	8192 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	p95_us	3	317.0000,289.0000,527.0000	403.0000,439.0000,340.0000	27.1293,51.9031,-35.4839	0.0883	17.67%	2		repeatable regression
w2	cold	200	after_on_vs_after_off	p99_us	3	431.0000,410.0000,1592.0000	768.0000,707.0000,544.0000	78.1903,72.4390,-65.8291	0.0487	10.00%	2		repeatable regression
w2	cold	200	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,33.3333,50.0000	50.0000,66.6667,50.0000	0.0000,100.0000,0.0000	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3296.0000,3260.0000,3292.0000	3460.0000,3468.0000,3404.0000	4.9757,6.3804,3.4022	0.0012	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	p95_us	3	336.0000,346.0000,491.0000	319.0000,340.0000,428.0000	-5.0595,-1.7341,-12.8310	0.0289	10.00%	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	p99_us	3	577.0000,1121.0000,1576.0000	538.0000,784.0000,1493.0000	-6.7591,-30.0624,-5.2665	0.4059	81.18%	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	50.0000,50.0000,50.0000	0.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3108.0000,3184.0000,3228.0000	3304.0000,3256.0000,3252.0000	6.3063,2.2613,0.7435	0.0138	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p95_us	3	319.0000,340.0000,428.0000	961.0000,475.0000,517.0000	201.2539,39.7059,20.7944	0.0618	12.35%	3		repeatable regression
w2	warm	200	after_on_vs_after_off	p99_us	3	538.0000,784.0000,1493.0000	2623.0000,1291.0000,929.0000	387.5465,64.6684,-37.7763	0.3138	62.76%	2		repeatable regression
w2	warm	200	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	66.6667,66.6667,66.6667	33.3333,33.3333,33.3333	0.0000	25.00%	3	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3304.0000,3256.0000,3252.0000	3396.0000,3464.0000,3396.0000	2.7845,6.3882,4.4280	0.0012	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p95_us	3	295.0000,276.0000,326.0000	344.0000,340.0000,297.0000	16.6102,23.1884,-8.8957	0.0644	12.88%	2		repeatable regression
w2	warm	400	after_off_vs_before_off	p99_us	3	520.0000,422.0000,772.0000	754.0000,588.0000,696.0000	45.0000,39.3365,-9.8446	0.1885	37.69%	2		repeatable regression
w2	warm	400	after_off_vs_before_off	cpu_us_per_correct_query	3	41.6667,33.3333,50.0000	50.0000,58.3333,41.6667	20.0000,75.0000,-16.6667	0.2000	40.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3112.0000,3188.0000,3232.0000	3304.0000,3256.0000,3256.0000	6.1697,2.1330,0.7426	0.0138	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p95_us	3	344.0000,340.0000,297.0000	441.0000,277.0000,348.0000	28.1977,-18.5294,17.1717	0.0118	10.00%	2		repeatable regression
w2	warm	400	after_on_vs_after_off	p99_us	3	754.0000,588.0000,696.0000	1165.0000,453.0000,848.0000	54.5093,-22.9592,21.8391	0.0833	16.67%	2		repeatable regression
w2	warm	400	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,58.3333,41.6667	50.0000,41.6667,50.0000	0.0000,-28.5714,20.0000	0.1667	33.33%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3304.0000,3256.0000,3256.0000	4340.0000,4368.0000,4284.0000	31.3559,34.1523,31.5725	0.0000	32768 KiB	0		no repeatable regression under frozen guard
