scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w2	warm	200	after_off_vs_before_off	p99_us	3	970.0000,590.0000,430.0000	960.0000,1055.0000,488.0000	-1.0309,78.8136,13.4884	0.2712	54.24%	1		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,50.0000,66.6667	66.6667,66.6667,66.6667	33.3333,33.3333,0.0000	0.0000	25.00%	2	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3144.0000,3160.0000,3260.0000	3348.0000,3228.0000,3192.0000	6.4885,2.1519,-2.0859	0.0051	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p95_us	3	404.0000,468.0000,305.0000	376.0000,353.0000,342.0000	-6.9307,-24.5726,12.1311	0.1584	31.68%	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p99_us	3	960.0000,1055.0000,488.0000	803.0000,604.0000,602.0000	-16.3542,-42.7488,23.3607	0.0990	19.79%	1		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	cpu_us_per_correct_query	3	66.6667,66.6667,66.6667	50.0000,50.0000,66.6667	-25.0000,-25.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3348.0000,3228.0000,3192.0000	3432.0000,3432.0000,3312.0000	2.5090,6.3197,3.7594	0.0112	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p95_us	3	422.0000,324.0000,531.0000	317.0000,384.0000,210.0000	-24.8815,18.5185,-60.4520	0.2322	46.45%	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p99_us	3	887.0000,523.0000,1017.0000	660.0000,743.0000,372.0000	-25.5919,42.0650,-63.4218	0.1466	29.31%	1		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,58.3333,66.6667	66.6667,58.3333,41.6667	33.3333,0.0000,-37.5000	0.1429	28.57%	1	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3148.0000,3164.0000,3264.0000	3352.0000,3228.0000,3192.0000	6.4803,2.0228,-2.2059	0.0051	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p95_us	3	317.0000,384.0000,210.0000	358.0000,342.0000,288.0000	12.9338,-10.9375,37.1429	0.2114	42.27%	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p99_us	3	660.0000,743.0000,372.0000	575.0000,731.0000,423.0000	-12.8788,-1.6151,13.7097	0.1258	25.15%	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	cpu_us_per_correct_query	3	66.6667,58.3333,41.6667	58.3333,66.6667,58.3333	-12.5000,14.2857,40.0000	0.1429	28.57%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3352.0000,3228.0000,3192.0000	4416.0000,4416.0000,4296.0000	31.7422,36.8030,34.5865	0.0112	32768 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p95_us	3	355.0000,1830.0000,2192.0000	1130.0000,1839.0000,2361.0000	218.3099,0.4918,7.7099	0.1978	39.56%	1		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p99_us	3	479.0000,4467.0000,4956.0000	2173.0000,3768.0000,4806.0000	353.6534,-15.6481,-3.0266	0.1095	21.89%	1		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	33.3333,150.0000,166.6667	116.6667,166.6667,183.3333	250.0000,11.1111,10.0000	0.1111	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
