scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	576.0000,593.0000,660.0000	556.0000,551.0000,556.0000	-3.4722,-7.0826,-15.7576	0.0287	10.00%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	1140.0000,782.0000,1707.0000	913.0000,914.0000,900.0000	-19.9123,16.8798,-47.2759	0.3140	62.81%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,100.0000,133.3333	116.6667,116.6667,133.3333	0.0000,16.6667,0.0000	0.1429	28.57%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	2992.0000,3028.0000,3060.0000	3064.0000,3176.0000,3224.0000	2.4064,4.8877,5.3595	0.0106	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	556.0000,551.0000,556.0000	644.0000,661.0000,530.0000	15.8273,19.9637,-4.6763	0.0000	10.00%	2		repeatable regression
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	913.0000,914.0000,900.0000	1066.0000,1031.0000,771.0000	16.7579,12.8009,-14.3333	0.0011	10.00%	2		repeatable regression
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	116.6667,116.6667,133.3333	133.3333,133.3333,133.3333	14.2857,14.2857,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3064.0000,3176.0000,3224.0000	3584.0000,3520.0000,3416.0000	16.9713,10.8312,5.9553	0.0151	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	406.0000,573.0000,450.0000	552.0000,430.0000,676.0000	35.9606,-24.9564,50.2222	0.0978	19.56%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	853.0000,1126.0000,719.0000	1234.0000,678.0000,1169.0000	44.6659,-39.7869,62.5869	0.1571	31.42%	2		repeatable regression
