scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	328	688	1165	200	8	133.33333333333334	3040	0.04 0.09 0.12	0.27 0.13 0.14
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	215	455	783	400	11	91.66666666666667	3044	0.04 0.09 0.12	0.27 0.13 0.14
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	317	644	1152	200	8	133.33333333333334	3136	0.27 0.13 0.14	0.19 0.12 0.13
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	214	520	1244	400	13	108.33333333333333	3140	0.27 0.13 0.14	0.19 0.12 0.13
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	419	961	2047	200	11	183.33333333333334	3580	0.19 0.12 0.13	0.39 0.18 0.15
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	248	557	1139	400	15	125.0	4984	0.19 0.12 0.13	0.39 0.18 0.15
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	297	620	1074	200	7	116.66666666666667	3140	0.39 0.18 0.15	0.38 0.19 0.16
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	259	566	1046	400	16	133.33333333333334	3140	0.39 0.18 0.15	0.38 0.19 0.16
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	292	560	796	200	7	116.66666666666667	3632	0.51 0.22 0.17	0.70 0.27 0.18
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	213	490	854	400	13	108.33333333333333	5048	0.51 0.22 0.17	0.70 0.27 0.18
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	305	567	1158	200	7	116.66666666666667	3076	0.70 0.27 0.18	0.72 0.30 0.20
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	214	492	816	400	11	91.66666666666667	3080	0.70 0.27 0.18	0.72 0.30 0.20
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	328	673	1125	200	8	133.33333333333334	3664	0.72 0.30 0.20	0.58 0.30 0.20
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	255	652	1701	400	16	133.33333333333334	5076	0.72 0.30 0.20	0.58 0.30 0.20
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	269	571	901	200	6	100.0	3148	0.58 0.30 0.20	0.45 0.28 0.19
w1-tcp	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	220	491	687	400	12	100.0	3156	0.58 0.30 0.20	0.45 0.28 0.19
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	290	563	857	200	7	116.66666666666667	3172	0.45 0.28 0.19	0.32 0.26 0.19
w1-tcp	main	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	208	474	706	400	12	100.0	3172	0.45 0.28 0.19	0.32 0.26 0.19
w2	cold	1	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	158	327	605	200	2	33.333333333333336	3068	0.32 0.26 0.19	0.19 0.24 0.18
w2	warm	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	151	311	442	200	2	33.333333333333336	3164	0.32 0.26 0.19	0.19 0.24 0.18
w2	warm	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	92	227	329	400	4	33.333333333333336	3164	0.32 0.26 0.19	0.19 0.24 0.18
w2	cold	1	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	182	351	744	200	3	50.0	3344	0.19 0.24 0.18	0.17 0.23 0.18
w2	warm	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	155	317	408	200	2	33.333333333333336	3292	0.19 0.24 0.18	0.17 0.23 0.18
w2	warm	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	101	260	424	400	5	41.666666666666664	3292	0.19 0.24 0.18	0.17 0.23 0.18
w2	cold	1	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	191	415	748	200	4	66.66666666666667	3500	0.17 0.23 0.18	0.17 0.22 0.18
w2	warm	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	206	402	891	200	4	66.66666666666667	3480	0.17 0.23 0.18	0.17 0.22 0.18
w2	warm	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	162	405	1115	400	7	58.333333333333336	4328	0.17 0.23 0.18	0.17 0.22 0.18
w2	cold	2	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	211	385	1028	200	3	50.0	3348	0.17 0.22 0.18	0.18 0.22 0.18
