scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w2	warm	200	after_off_vs_before_off	p99_us	3	491.0000,514.0000,695.0000	434.0000,667.0000,579.0000	-11.6090,29.7665,-16.6906	0.0447	10.00%	1		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	cpu_us_per_correct_query	3	33.3333,50.0000,50.0000	50.0000,50.0000,50.0000	50.0000,0.0000,0.0000	0.0000	25.00%	1	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3116.0000,3232.0000,3264.0000	3300.0000,3216.0000,3300.0000	5.9050,-0.4950,1.1029	0.0099	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p95_us	3	315.0000,373.0000,361.0000	351.0000,358.0000,364.0000	11.4286,-4.0214,0.8310	0.0332	10.00%	1		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p99_us	3	434.0000,667.0000,579.0000	490.0000,465.0000,587.0000	12.9032,-30.2849,1.3817	0.1520	30.40%	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	66.6667,66.6667,50.0000	33.3333,33.3333,0.0000	0.0000	25.00%	2	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3300.0000,3216.0000,3300.0000	3396.0000,3400.0000,3460.0000	2.9091,5.7214,4.8485	0.0000	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p95_us	3	230.0000,253.0000,233.0000	230.0000,275.0000,272.0000	0.0000,8.6957,16.7382	0.0129	10.00%	1		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p99_us	3	395.0000,400.0000,341.0000	378.0000,535.0000,415.0000	-4.3038,33.7500,21.7009	0.0127	10.00%	2		repeatable regression
w2	warm	400	after_off_vs_before_off	cpu_us_per_correct_query	3	41.6667,33.3333,33.3333	41.6667,41.6667,41.6667	0.0000,25.0000,25.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3116.0000,3232.0000,3268.0000	3300.0000,3220.0000,3300.0000	5.9050,-0.3713,0.9792	0.0111	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p95_us	3	230.0000,275.0000,272.0000	253.0000,253.0000,279.0000	10.0000,-8.0000,2.5735	0.0110	10.00%	1		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p99_us	3	378.0000,535.0000,415.0000	351.0000,379.0000,447.0000	-7.1429,-29.1589,7.7108	0.0892	17.83%	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	cpu_us_per_correct_query	3	41.6667,41.6667,41.6667	41.6667,41.6667,41.6667	0.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3300.0000,3220.0000,3300.0000	4340.0000,4344.0000,4408.0000	31.5152,34.9068,33.5758	0.0000	32768 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p95_us	3	752.0000,812.0000,739.0000	1120.0000,991.0000,744.0000	48.9362,22.0443,0.6766	0.0173	10.00%	2		repeatable regression
w3	main	200	after_off_vs_before_off	p99_us	3	1362.0000,1281.0000,1312.0000	2184.0000,1737.0000,1007.0000	60.3524,35.5972,-23.2470	0.0236	10.00%	2		repeatable regression
w3	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	100.0000,100.0000,116.6667	150.0000,150.0000,100.0000	50.0000,50.0000,-14.2857	0.0000	25.00%	2	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3120.0000,3236.0000,3276.0000	3328.0000,3336.0000,3340.0000	6.6667,3.0902,1.9536	0.0124	8192 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p95_us	3	1120.0000,991.0000,744.0000	788.0000,833.0000,734.0000	-29.6429,-15.9435,-1.3441	0.1302	26.03%	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p99_us	3	2184.0000,1737.0000,1007.0000	1198.0000,1410.0000,1512.0000	-45.1465,-18.8256,50.1490	0.2573	51.47%	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	150.0000,150.0000,100.0000	133.3333,133.3333,116.6667	-11.1111,-11.1111,16.6667	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3328.0000,3336.0000,3340.0000	3624.0000,3588.0000,3680.0000	8.8942,7.5540,10.1796	0.0012	32768 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p95_us	3	593.0000,585.0000,617.0000	825.0000,850.0000,777.0000	39.1231,45.2991,25.9319	0.0135	10.00%	3		repeatable regression
w3	main	400	after_off_vs_before_off	p99_us	3	1024.0000,859.0000,929.0000	1336.0000,1708.0000,1365.0000	30.4688,98.8359,46.9322	0.0753	15.07%	3		repeatable regression
w3	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	91.6667,83.3333,83.3333	108.3333,116.6667,108.3333	18.1818,40.0000,30.0000	0.0000	25.00%	2	0	repeatable regression
w3	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3188.0000,3304.0000,3344.0000	3396.0000,3404.0000,3408.0000	6.5245,3.0266,1.9139	0.0121	8192 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	p95_us	3	825.0000,850.0000,777.0000	864.0000,807.0000,758.0000	4.7273,-5.0588,-2.4453	0.0303	10.00%	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	p99_us	3	1336.0000,1708.0000,1365.0000	2234.0000,1705.0000,1318.0000	67.2156,-0.1756,-3.4432	0.0212	10.00%	1		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	108.3333,116.6667,108.3333	125.0000,108.3333,116.6667	15.3846,-7.1429,7.6923	0.0000	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3396.0000,3404.0000,3408.0000	5384.0000,5348.0000,5436.0000	58.5395,57.1093,59.5070	0.0012	32768 KiB	0		no repeatable regression under frozen guard
