scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	306	579	1100	200	8	133.33333333333334	3004	0.36 0.38 0.22	0.35 0.38 0.22
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	202	455	649	400	10	83.33333333333333	3008	0.36 0.38 0.22	0.35 0.38 0.22
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	339	692	1378	200	9	150.0	3176	0.35 0.38 0.22	0.39 0.39 0.22
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	280	674	1522	400	17	141.66666666666666	3180	0.35 0.38 0.22	0.39 0.39 0.22
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	264	531	688	200	7	116.66666666666667	3644	0.39 0.39 0.22	0.54 0.42 0.24
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	224	506	770	400	14	116.66666666666667	5372	0.39 0.39 0.22	0.54 0.42 0.24
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	275	525	719	200	7	116.66666666666667	3068	0.54 0.42 0.24	0.42 0.40 0.24
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	202	483	680	400	13	108.33333333333333	3068	0.54 0.42 0.24	0.42 0.40 0.24
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	371	816	1455	200	9	150.0	3616	0.42 0.40 0.24	0.37 0.39 0.24
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	269	910	1914	400	18	150.0	5352	0.42 0.40 0.24	0.37 0.39 0.24
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	271	564	768	200	7	116.66666666666667	3044	0.37 0.39 0.24	0.60 0.45 0.26
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	242	540	1204	400	13	108.33333333333333	3048	0.37 0.39 0.24	0.60 0.45 0.26
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	267	521	783	200	7	116.66666666666667	3692	0.60 0.45 0.26	0.43 0.42 0.25
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	243	564	1212	400	16	133.33333333333334	5428	0.60 0.45 0.26	0.43 0.42 0.25
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	349	724	1333	200	8	133.33333333333334	3104	0.43 0.42 0.25	0.40 0.41 0.25
w1-tcp	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	261	650	1533	400	14	116.66666666666667	3108	0.43 0.42 0.25	0.40 0.41 0.25
w1-tcp	main	3	after_off	2	1	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	383	851	2097	200	9	150.0	3056	0.40 0.41 0.25	0.56 0.45 0.27
