scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w2	warm	200	after_off_vs_before_off	p99_us	3	442.0000,385.0000,561.0000	408.0000,643.0000,461.0000	-7.6923,67.0130,-17.8253	0.1290	25.79%	1		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	cpu_us_per_correct_query	3	33.3333,50.0000,50.0000	33.3333,50.0000,50.0000	0.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3164.0000,3252.0000,3136.0000	3292.0000,3316.0000,3192.0000	4.0455,1.9680,1.7857	0.0088	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_on_vs_after_off	p95_us	3	317.0000,364.0000,305.0000	402.0000,414.0000,343.0000	26.8139,13.7363,12.4590	0.0379	10.00%	3		repeatable regression
w2	warm	200	after_on_vs_after_off	p99_us	3	408.0000,643.0000,461.0000	891.0000,1034.0000,527.0000	118.3824,60.8087,14.3167	0.1150	22.99%	2		repeatable regression
w2	warm	200	after_on_vs_after_off	cpu_us_per_correct_query	3	33.3333,50.0000,50.0000	66.6667,66.6667,50.0000	100.0000,33.3333,0.0000	0.0000	25.00%	2	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3292.0000,3316.0000,3192.0000	3480.0000,3504.0000,3548.0000	5.7108,5.6695,11.1529	0.0073	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_off_vs_before_off	p95_us	3	227.0000,244.0000,255.0000	260.0000,303.0000,275.0000	14.5374,24.1803,7.8431	0.0451	10.00%	2		repeatable regression
w2	warm	400	after_off_vs_before_off	p99_us	3	329.0000,489.0000,363.0000	424.0000,718.0000,396.0000	28.8754,46.8303,9.0909	0.0937	18.73%	2		repeatable regression
w2	warm	400	after_off_vs_before_off	cpu_us_per_correct_query	3	33.3333,41.6667,33.3333	41.6667,66.6667,41.6667	25.0000,60.0000,25.0000	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3164.0000,3256.0000,3140.0000	3292.0000,3320.0000,3196.0000	4.0455,1.9656,1.7834	0.0076	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p95_us	3	260.0000,303.0000,275.0000	405.0000,460.0000,278.0000	55.7692,51.8152,1.0909	0.0545	10.91%	2		repeatable regression
w2	warm	400	after_on_vs_after_off	p99_us	3	424.0000,718.0000,396.0000	1115.0000,824.0000,428.0000	162.9717,14.7632,8.0808	0.0660	13.21%	2		repeatable regression
w2	warm	400	after_on_vs_after_off	cpu_us_per_correct_query	3	41.6667,66.6667,41.6667	58.3333,66.6667,50.0000	40.0000,0.0000,20.0000	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3292.0000,3320.0000,3196.0000	4328.0000,4356.0000,4396.0000	31.4702,31.2048,37.5469	0.0085	32768 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p95_us	3	770.0000,746.0000,694.0000	694.0000,747.0000,914.0000	-9.8701,0.1340,31.7003	0.0322	10.00%	1		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p99_us	3	1329.0000,1382.0000,1096.0000	1041.0000,1090.0000,1811.0000	-21.6704,-21.1288,65.2372	0.0399	10.00%	1		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	100.0000,116.6667,100.0000	116.6667,100.0000,150.0000	16.6667,-14.2857,50.0000	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3216.0000,3232.0000,3124.0000	3324.0000,3320.0000,3324.0000	3.3582,2.7228,6.4020	0.0050	8192 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p95_us	3	694.0000,747.0000,914.0000	810.0000,852.0000,849.0000	16.7147,14.0562,-7.1116	0.0710	14.19%	1		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p99_us	3	1041.0000,1090.0000,1811.0000	1009.0000,1488.0000,1349.0000	-3.0740,36.5138,-25.5108	0.0450	10.00%	1		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	116.6667,100.0000,150.0000	116.6667,133.3333,150.0000	0.0000,33.3333,0.0000	0.1429	28.57%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3324.0000,3320.0000,3324.0000	3656.0000,3720.0000,3648.0000	9.9880,12.0482,9.7473	0.0000	32768 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p95_us	3	738.0000,664.0000,590.0000	595.0000,765.0000,672.0000	-19.3767,15.2108,13.8983	0.1114	22.29%	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p99_us	3	1729.0000,1183.0000,1037.0000	957.0000,1454.0000,1007.0000	-44.6501,22.9079,-2.8930	0.1234	24.68%	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	108.3333,91.6667,83.3333	91.6667,100.0000,100.0000	-15.3846,9.0909,20.0000	0.0909	25.00%	0	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3284.0000,3300.0000,3192.0000	3392.0000,3388.0000,3392.0000	3.2887,2.6667,6.2657	0.0049	8192 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	p95_us	3	595.0000,765.0000,672.0000	817.0000,896.0000,905.0000	37.3109,17.1242,34.6726	0.1146	22.92%	2		repeatable regression
w3	main	400	after_on_vs_after_off	p99_us	3	957.0000,1454.0000,1007.0000	2095.0000,1763.0000,2497.0000	118.9133,21.2517,147.9643	0.0497	10.00%	3		repeatable regression
w3	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	91.6667,100.0000,100.0000	125.0000,133.3333,133.3333	36.3636,33.3333,33.3333	0.0000	25.00%	3	0	repeatable regression
w3	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3392.0000,3388.0000,3392.0000	5164.0000,5144.0000,5132.0000	52.2406,51.8300,51.2972	0.0000	32768 KiB	0		no repeatable regression under frozen guard
