scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	572.0000,579.0000,602.0000	759.0000,503.0000,570.0000	32.6923,-13.1261,-5.3156	0.0121	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	894.0000,974.0000,1290.0000	1526.0000,669.0000,720.0000	70.6935,-31.3142,-44.1860	0.0821	16.43%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,116.6667,116.6667	150.0000,116.6667,133.3333	28.5714,0.0000,14.2857	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3156.0000,2996.0000,3160.0000	3224.0000,3164.0000,3124.0000	2.1546,5.6075,-1.1392	0.0013	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	759.0000,503.0000,570.0000	538.0000,636.0000,502.0000	-29.1173,26.4414,-11.9298	0.1175	23.51%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1526.0000,669.0000,720.0000	648.0000,968.0000,601.0000	-57.5360,44.6936,-16.5278	0.0708	14.17%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	150.0000,116.6667,133.3333	116.6667,133.3333,116.6667	-22.2222,14.2857,-12.5000	0.1250	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3224.0000,3164.0000,3124.0000	3544.0000,3516.0000,3540.0000	9.9256,11.1252,13.3163	0.0126	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	417.0000,547.0000,449.0000	550.0000,414.0000,518.0000	31.8945,-24.3144,15.3675	0.0713	14.25%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	670.0000,1106.0000,660.0000	1183.0000,661.0000,848.0000	76.5672,-40.2351,28.4848	0.0149	10.00%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	91.6667,116.6667,100.0000	116.6667,100.0000,108.3333	27.2727,-14.2857,8.3333	0.0833	25.00%	1	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3160.0000,3000.0000,3164.0000	3228.0000,3172.0000,3132.0000	2.1519,5.7333,-1.0114	0.0013	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	550.0000,414.0000,518.0000	540.0000,458.0000,435.0000	-1.8182,10.6280,-16.0232	0.0618	12.36%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p99_us	3	1183.0000,661.0000,848.0000	977.0000,746.0000,640.0000	-17.4134,12.8593,-24.5283	0.2205	44.10%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	116.6667,100.0000,108.3333	125.0000,108.3333,100.0000	7.1429,8.3333,-7.6923	0.0769	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3228.0000,3172.0000,3132.0000	5364.0000,5332.0000,5360.0000	66.1710,68.0958,71.1367	0.0126	32768 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p95_us	3	289.0000,312.0000,314.0000	301.0000,337.0000,308.0000	4.1522,8.0128,-1.9108	0.0064	10.00%	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p99_us	3	435.0000,420.0000,365.0000	408.0000,428.0000,399.0000	-6.2069,1.9048,9.3151	0.0357	10.00%	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	cpu_us_per_correct_query	3	33.3333,50.0000,50.0000	33.3333,50.0000,50.0000	0.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3164.0000,3152.0000,3252.0000	3188.0000,3308.0000,3300.0000	0.7585,4.9492,1.4760	0.0038	8192 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	p95_us	3	301.0000,337.0000,308.0000	321.0000,337.0000,321.0000	6.6445,0.0000,4.2208	0.0227	10.00%	0		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	p99_us	3	408.0000,428.0000,399.0000	533.0000,530.0000,461.0000	30.6373,23.8318,15.5388	0.0221	10.00%	3		repeatable regression
w2	cold	200	after_on_vs_after_off	cpu_us_per_correct_query	3	33.3333,50.0000,50.0000	50.0000,50.0000,50.0000	50.0000,0.0000,0.0000	0.0000	25.00%	1	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3188.0000,3308.0000,3300.0000	3400.0000,3352.0000,3448.0000	6.6499,1.3301,4.4848	0.0024	32768 KiB	0		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	p95_us	3	316.0000,305.0000,287.0000	346.0000,339.0000,323.0000	9.4937,11.1475,12.5436	0.0361	10.00%	2		repeatable regression
w2	warm	200	after_off_vs_before_off	p99_us	3	655.0000,425.0000,410.0000	516.0000,593.0000,427.0000	-21.2214,39.5294,4.1463	0.0353	10.00%	1		no repeatable regression under frozen guard
w2	warm	200	after_off_vs_before_off	cpu_us_per_correct_query	3	33.3333,50.0000,33.3333	50.0000,50.0000,50.0000	50.0000,0.0000,50.0000	0.0000	25.00%	2	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
