scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	267	519	725	200	6	100.0	3128	0.07 0.22 0.22	0.21 0.23 0.22
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	208	431	673	400	11	91.66666666666667	3132	0.07 0.22 0.22	0.21 0.23 0.22
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	315	642	954	200	8	133.33333333333334	3036	0.21 0.23 0.22	0.22 0.23 0.22
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	222	491	852	400	14	116.66666666666667	3044	0.21 0.23 0.22	0.22 0.23 0.22
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	348	820	2114	200	8	133.33333333333334	3548	0.22 0.23 0.22	0.25 0.24 0.23
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	242	552	950	400	15	125.0	5368	0.22 0.23 0.22	0.25 0.24 0.23
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	277	548	786	200	7	116.66666666666667	3208	0.25 0.24 0.23	0.38 0.27 0.24
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	243	560	1291	400	13	108.33333333333333	3216	0.25 0.24 0.23	0.38 0.27 0.24
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	295	567	778	200	8	133.33333333333334	3652	0.38 0.27 0.24	0.27 0.25 0.23
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	228	507	889	400	14	116.66666666666667	5472	0.38 0.27 0.24	0.27 0.25 0.23
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	329	588	1191	200	8	133.33333333333334	3020	0.27 0.25 0.23	0.55 0.32 0.25
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	191	431	681	400	11	91.66666666666667	3024	0.27 0.25 0.23	0.55 0.32 0.25
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	295	615	1045	200	8	133.33333333333334	3472	0.55 0.32 0.25	0.43 0.30 0.25
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	271	598	1458	400	16	133.33333333333334	5292	0.55 0.32 0.25	0.43 0.30 0.25
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	281	554	820	200	7	116.66666666666667	3104	0.43 0.30 0.25	0.30 0.28 0.24
w1-tcp	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	203	432	775	400	12	100.0	3108	0.43 0.30 0.25	0.30 0.28 0.24
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	269	502	638	200	7	116.66666666666667	3100	0.30 0.28 0.24	0.22 0.26 0.24
w1-tcp	main	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	194	421	700	400	12	100.0	3104	0.30 0.28 0.24	0.22 0.26 0.24
w2	cold	1	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	146	285	387	200	2	33.333333333333336	3184	0.22 0.26 0.24	0.14 0.24 0.23
w2	warm	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	154	305	491	200	2	33.333333333333336	3116	0.22 0.26 0.24	0.14 0.24 0.23
w2	warm	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	94	230	395	400	5	41.666666666666664	3116	0.22 0.26 0.24	0.14 0.24 0.23
w2	cold	1	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	150	299	411	200	3	50.0	3348	0.14 0.24 0.23	0.22 0.25 0.23
w2	warm	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	161	315	434	200	3	50.0	3300	0.14 0.24 0.23	0.22 0.25 0.23
w2	warm	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	92	230	378	400	5	41.666666666666664	3300	0.14 0.24 0.23	0.22 0.25 0.23
w2	cold	1	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	161	313	486	200	3	50.0	3488	0.22 0.25 0.23	0.19 0.24 0.23
w2	warm	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	183	351	490	200	4	66.66666666666667	3396	0.22 0.25 0.23	0.19 0.24 0.23
w2	warm	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	97	253	351	400	5	41.666666666666664	4340	0.22 0.25 0.23	0.19 0.24 0.23
w2	cold	2	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	156	288	476	200	3	50.0	3216	0.19 0.24 0.23	0.11 0.22 0.22
w2	warm	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	194	373	667	200	3	50.0	3216	0.19 0.24 0.23	0.11 0.22 0.22
w2	warm	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	116	275	535	400	5	41.666666666666664	3220	0.19 0.24 0.23	0.11 0.22 0.22
w2	cold	2	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	174	352	594	200	3	50.0	3436	0.11 0.22 0.22	0.07 0.19 0.21
w2	warm	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	191	358	465	200	4	66.66666666666667	3400	0.11 0.22 0.22	0.07 0.19 0.21
w2	warm	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	98	253	379	400	5	41.666666666666664	4344	0.11 0.22 0.22	0.07 0.19 0.21
w2	cold	2	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	160	328	523	200	3	50.0	3268	0.07 0.19 0.21	0.12 0.19 0.21
w2	warm	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	180	336	514	200	3	50.0	3232	0.07 0.19 0.21	0.12 0.19 0.21
w2	warm	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	95	253	400	400	4	33.333333333333336	3232	0.07 0.19 0.21	0.12 0.19 0.21
w2	cold	3	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	170	360	639	200	3	50.0	3396	0.12 0.19 0.21	0.14 0.19 0.21
w2	warm	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	190	364	587	200	3	50.0	3460	0.12 0.19 0.21	0.14 0.19 0.21
w2	warm	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	107	279	447	400	5	41.666666666666664	4408	0.12 0.19 0.21	0.14 0.19 0.21
w2	cold	3	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	155	296	449	200	2	33.333333333333336	3204	0.14 0.19 0.21	0.22 0.20 0.21
w2	warm	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	179	345	695	200	3	50.0	3264	0.14 0.19 0.21	0.22 0.20 0.21
w2	warm	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	94	233	341	400	4	33.333333333333336	3268	0.14 0.19 0.21	0.22 0.20 0.21
w2	cold	3	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	146	304	419	200	2	33.333333333333336	3348	0.22 0.20 0.21	0.19 0.20 0.21
w2	warm	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	193	361	579	200	3	50.0	3300	0.22 0.20 0.21	0.19 0.20 0.21
w2	warm	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	111	272	415	400	5	41.666666666666664	3300	0.22 0.20 0.21	0.19 0.20 0.21
w3	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	380	752	1362	200	6	100.0	3120	0.19 0.20 0.21	0.13 0.18 0.20
w3	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	272	593	1024	400	11	91.66666666666667	3188	0.19 0.20 0.21	0.13 0.18 0.20
w3	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	526	1120	2184	200	9	150.0	3328	0.13 0.18 0.20	0.32 0.22 0.21
w3	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	350	825	1336	400	13	108.33333333333333	3396	0.13 0.18 0.20	0.32 0.22 0.21
w3	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	434	788	1198	200	8	133.33333333333334	3624	0.32 0.22 0.21	0.28 0.22 0.21
w3	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	376	864	2234	400	15	125.0	5384	0.32 0.22 0.21	0.28 0.22 0.21
w3	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	501	991	1737	200	9	150.0	3336	0.28 0.22 0.21	0.20 0.20 0.20
w3	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	358	850	1708	400	14	116.66666666666667	3404	0.28 0.22 0.21	0.20 0.20 0.20
