scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	585.0000,535.0000,707.0000	694.0000,565.0000,526.0000	18.6325,5.6075,-25.6011	0.0855	17.09%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	950.0000,868.0000,1272.0000	1450.0000,779.0000,736.0000	52.6316,-10.2535,-42.1384	0.0863	17.26%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,116.6667,133.3333	133.3333,133.3333,116.6667	14.2857,14.2857,-12.5000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3128.0000,3088.0000,3136.0000	3216.0000,3208.0000,3132.0000	2.8133,3.8860,-0.1276	0.0026	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	694.0000,565.0000,526.0000	564.0000,781.0000,521.0000	-18.7320,38.2301,-0.9506	0.0690	13.81%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1450.0000,779.0000,736.0000	1038.0000,1471.0000,734.0000	-28.4138,88.8318,-0.2717	0.0552	11.04%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,133.3333,116.6667	116.6667,150.0000,116.6667	-12.5000,12.5000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3216.0000,3208.0000,3132.0000	3644.0000,3520.0000,3484.0000	13.3085,9.7257,11.2388	0.0025	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	401.0000,489.0000,485.0000	631.0000,477.0000,639.0000	57.3566,-2.4540,31.7526	0.0082	10.00%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	660.0000,788.0000,838.0000	1385.0000,974.0000,1563.0000	109.8485,23.6041,86.5155	0.0635	12.69%	3		repeatable regression
