scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	300	619	884	200	8	133.33333333333334	3160	0.21 0.21 0.14	0.16 0.20 0.14
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	181	362	575	400	11	91.66666666666667	3164	0.21 0.21 0.14	0.16 0.20 0.14
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	324	630	1076	200	8	133.33333333333334	3156	0.16 0.20 0.14	0.24 0.22 0.14
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	218	469	731	400	12	100.0	3160	0.16 0.20 0.14	0.24 0.22 0.14
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	280	526	696	200	7	116.66666666666667	3112	0.24 0.22 0.14	0.25 0.22 0.15
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	243	525	890	400	13	108.33333333333333	3116	0.24 0.22 0.14	0.25 0.22 0.15
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	246	465	651	200	6	100.0	3164	0.25 0.22 0.15	0.19 0.21 0.14
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	187	386	565	400	12	100.0	3168	0.25 0.22 0.15	0.19 0.21 0.14
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	324	630	819	200	8	133.33333333333334	3144	0.34 0.24 0.15	0.50 0.28 0.17
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	199	421	636	400	11	91.66666666666667	3148	0.34 0.24 0.15	0.50 0.28 0.17
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	276	551	794	200	7	116.66666666666667	3072	0.50 0.28 0.17	0.55 0.31 0.18
